Epoche;Durchschnitt
Fehler;-
0;1
0;"2496FF"
0;42285.583383
1;41060.300806
2;38874.491561
3;35856.333804
4;33118.592410
5;30434.424204
6;27813.206730
7;25753.150119
8;23341.024381
9;21061.851781
10;19046.555860
11;17182.678798
12;15515.702380
13;14006.512304
14;12659.869240
15;11432.332914
16;10326.312581
17;9330.810801
18;8433.658457
19;7625.012180
20;6896.023192
21;6238.371795
22;5646.121016
23;5112.111311
24;4630.971095
25;4196.882164
26;3805.604952
27;3453.047836
28;3135.598878
29;2849.787242
30;2592.455434
31;2360.666191
32;2152.062141
33;1964.118334
34;1794.355529
35;1641.055609
36;1502.557865
37;1377.057975
38;1263.700970
39;1161.369808
40;1068.900658
41;985.580196
42;910.367032
43;842.592841
44;781.289515
45;726.070557
46;676.080113
47;630.932122
48;589.951221
49;552.717144
50;519.092487
51;488.459555
52;460.650098
53;435.305403
54;411.787620
55;389.727370
56;368.768628
57;349.437194
58;331.755421
59;315.505853
60;300.883480
61;287.706253
62;275.789352
63;265.055952
64;255.487713
65;246.786406
66;238.906690
67;231.640409
68;225.083102
69;219.154372
70;213.735255
71;208.695850
72;204.181119
73;200.068328
74;196.422931
75;193.047704
76;189.864787
77;186.867537
78;183.967494
79;181.282539
80;178.726865
81;176.292698
82;173.994831
83;171.926639
84;169.820234
85;167.933779
86;165.978456
87;163.922787
88;162.028235
89;160.171409
90;158.559215
91;157.028894
92;155.995045
93;154.863169
94;154.020711
95;153.012893
96;152.089766
97;151.220501
98;150.396754
99;149.628551
100;148.908609
101;390468.519151
102;741276.331129
103;1049439.251173
104;1315032.966183
105;1551225.152790
106;1759667.126068
107;1941828.457600
108;2100131.253339
109;2237811.936806
110;2361138.954894
111;2469501.504366
112;2563934.519128
113;2643130.001456
114;2707854.148921
115;2761039.616884
116;2808026.052080
117;2848823.313933
118;2881782.551872
119;2907831.609057
120;2928900.233848
121;2943299.532954
122;2946805.637403
123;2945812.872285
124;2941990.026044
125;2934656.272443
126;2926091.668373
127;2914114.641190
128;2895852.448050
129;2873304.465207
130;2851609.879161
131;2830939.990285
132;2809514.414494
133;2787300.817434
134;2764623.091044
135;2743571.922174
136;2724889.460420
137;2706568.903733
138;2680168.822356
139;2651924.765787
140;2624759.694862
141;2598866.350777
142;2575069.713363
143;2552924.180789
144;2524471.759208
145;2492819.354186
146;2462516.760626
147;2434548.366013
148;2407025.563125
149;2376032.282943
150;2347603.932938
151;2320451.945682
152;2294363.673897
153;2269084.798089
154;2243614.131871
155;2219506.549652
156;2196493.724372
157;2168423.103012
158;2140977.064688
159;2112839.156134
160;2078889.381767
161;2043979.177934
162;2008804.508312
163;1976475.874484
164;1942531.755101
165;1910496.936310
166;1879697.574657
167;1847865.535200
168;1817846.324891
169;1790074.360447
170;1764337.576877
171;1739338.438486
