Epoche;Durchschnitt
Fehler;-
0;1
0;"06EDFF"
0;151.247999
1;148.811773
2;145.409498
3;141.297062
4;136.348380
5;130.218694
6;122.530347
7;114.384914
8;106.173178
9;97.268311
10;88.938706
11;81.024738
12;73.787647
13;67.201390
14;61.250189
15;55.868690
16;51.006037
17;46.596253
18;42.600142
19;38.980515
20;35.693392
21;32.714225
22;30.011536
23;27.553073
24;25.327963
25;23.312545
26;21.491290
27;19.839531
28;18.347504
29;16.991993
30;15.767182
31;14.660573
32;13.660194
33;12.757053
34;11.939803
35;11.199818
36;10.531329
37;9.928286
38;9.383654
39;8.892456
40;8.449296
41;8.049942
42;7.689574
43;7.364650
44;7.071897
45;6.808190
46;6.570594
47;6.356656
48;6.164058
49;5.990470
50;5.834197
51;5.693415
52;5.566408
53;5.452095
54;5.349140
55;5.256388
56;5.172885
57;5.097682
58;5.029951
59;4.968992
60;4.914096
61;4.864529
62;4.819872
63;4.779634
64;4.743317
65;4.710628
66;4.681125
67;4.654555
68;4.630547
69;4.608940
70;4.589431
71;4.571873
72;4.555992
73;4.541580
74;4.528606
75;4.516895
76;4.506243
77;4.496650
78;4.487837
79;4.479815
80;4.472522
81;4.465959
82;4.460052
83;4.454600
84;4.449692
85;4.445232
86;4.441175
87;4.437523
88;4.434222
89;4.431189
90;4.428460
91;4.425938
92;4.423669
93;4.421626
94;4.419781
95;4.418007
96;4.416304
97;4.414771
98;4.413321
99;4.412015
100;4.410783
101;4.409629
102;4.408527
103;4.407535
104;4.406577
105;4.405688
106;4.404821
107;4.404041
108;4.403338
109;4.402674
110;4.402046
111;4.401475
112;4.400921
113;4.400422
114;4.399937
115;4.399500
116;4.399049
117;4.398643
118;4.398241
119;4.397879
120;4.397534
121;4.397218
122;4.396921
123;4.396653
124;4.396412
125;4.396195
126;4.396000
127;4.395823
128;4.395572
129;4.395327
130;4.395099
131;4.394894
132;4.394710
133;4.394534
134;4.394376
135;4.394234
136;4.394104
137;4.393987
138;4.393882
139;4.393787
140;4.393674
141;4.393526
142;4.393340
143;4.393170
144;4.393017
145;4.392840
146;4.392681
147;4.392538
148;4.392385
149;4.392248
150;4.392124
151;4.392013
152;4.391912
153;4.391812
154;4.391722
155;4.391629
156;4.391546
157;4.391470
158;4.391383
159;4.391304
160;4.391232
161;4.391133
162;4.391044
163;4.390964
164;4.390860
165;4.390766
166;4.390574
167;4.390401
168;4.390227
169;4.389921
170;4.389646
171;4.389398
172;4.389176
173;4.388975
174;4.388750
175;4.388548
176;4.388366
177;4.388202
178;4.388054
179;4.387871
180;4.387707
181;4.387558
182;4.387425
183;4.387305
184;4.387191
185;4.387088
186;4.386984
187;4.386890
188;4.386802
189;4.386723
190;4.386617
191;4.386517
192;4.386428
193;4.386342
194;4.386265
195;4.386174
196;4.386091
197;4.386016
