Zeit [s];y
;-
0;1
0;"06EDFF"
3.190000;0.025355
3.200000;0.023471
3.210000;0.021727
3.220000;0.020113
3.230000;0.018619
3.240000;0.017236
3.250000;0.015955
3.260000;0.014770
3.270000;0.013672
3.280000;0.012657
3.290000;0.011716
3.300000;0.010846
3.310000;0.010040
3.320000;0.009294
3.330000;0.008604
3.340000;0.007964
3.350000;0.007373
3.360000;0.006825
3.370000;0.006318
3.380000;0.005848
3.390000;0.005414
3.400000;0.005012
3.410000;0.004639
3.420000;0.004295
3.430000;0.003976
3.440000;0.003680
3.450000;0.003407
3.460000;0.003154
3.470000;0.002919
3.480000;0.002703
3.490000;0.002502
3.500000;0.002316
3.510000;0.327144
3.520000;0.965377
3.530000;1.569216
3.540000;2.128695
3.550000;2.646627
3.560000;3.126079
3.570000;3.569911
3.580000;3.980769
3.590000;4.361102
3.600000;4.713178
3.610000;5.039096
3.620000;5.340801
3.630000;5.620090
3.640000;5.878630
3.650000;6.117961
3.660000;6.339512
3.670000;6.544602
3.680000;6.734455
3.690000;6.910203
3.700000;7.072894
3.710000;7.203584
3.720000;7.300974
3.730000;7.388033
3.740000;7.469520
3.750000;7.544392
3.760000;7.611106
3.770000;7.669103
3.780000;7.718762
3.790000;7.760968
3.800000;7.796756
3.810000;7.827107
3.820000;7.852877
3.830000;7.874779
3.840000;7.893409
3.850000;7.909261
3.860000;7.922751
3.870000;7.934231
3.880000;7.944000
3.890000;7.952314
3.900000;7.959387
3.910000;7.965406
3.920000;7.970528
3.930000;7.974885
3.940000;7.978594
3.950000;7.981749
3.960000;7.984434
3.970000;7.986718
3.980000;7.988662
3.990000;7.990317
4.000000;7.991724
4.010000;7.992922
4.020000;7.993942
4.030000;7.994810
4.040000;7.995548
4.050000;7.996176
4.060000;7.996711
4.070000;7.997166
4.080000;7.997554
4.090000;7.997884
4.100000;7.998165
4.110000;7.998404
4.120000;7.998607
4.130000;7.998781
4.140000;7.998928
4.150000;7.999054
4.160000;7.999161
4.170000;7.999253
4.180000;7.999331
4.190000;7.999397
4.200000;7.999454
4.210000;7.999502
4.220000;7.999543
4.230000;7.999579
4.240000;7.999609
4.250000;7.999635
4.260000;7.999657
4.270000;7.999676
4.280000;7.999692
4.290000;7.999706
4.300000;7.999718
4.310000;7.999728
4.320000;7.999737
4.330000;7.999745
4.340000;7.999752
4.350000;7.999758
4.360000;7.999763
4.370000;7.999767
4.380000;7.999771
4.390000;7.999775
4.400000;7.999778
4.410000;7.999781
4.420000;7.999783
4.430000;7.999785
4.440000;7.999787
4.450000;7.999789
4.460000;7.999791
4.470000;7.999793
4.480000;7.999794
4.490000;7.999795
4.500000;7.999797
4.510000;7.714090
4.520000;7.152880
4.530000;6.621917
4.540000;6.129960
4.550000;5.674536
4.560000;5.252947
4.570000;4.862679
4.580000;4.501407
4.590000;4.166975
4.600000;3.857390
4.610000;3.570806
4.620000;3.305513
4.630000;3.059930
4.640000;2.832593
4.650000;2.622146
4.660000;2.427334
4.670000;2.246995
4.680000;2.080055
4.690000;1.925517
4.700000;1.782461
4.710000;1.650033
4.720000;1.527444
4.730000;1.413963
4.740000;1.308913
4.750000;1.211667
4.760000;1.121646
4.770000;1.038314
4.780000;0.961172
4.790000;0.889762
4.800000;0.823657
4.810000;0.762464
4.820000;0.705817
4.830000;0.653378
4.840000;0.604835
4.850000;0.559899
4.860000;0.518301
4.870000;0.479794
4.880000;0.444148
4.890000;0.411150
4.900000;0.380604
4.910000;0.352327
4.920000;0.326151
4.930000;0.301919
4.940000;0.279488
4.950000;0.258724
4.960000;0.239502
4.970000;0.221708
4.980000;0.205236
4.990000;0.189988
5.000000;0.175873
5.010000;0.162807
5.020000;0.150711
5.030000;0.139514
5.040000;0.129149
5.050000;0.119554
5.060000;0.110671
5.070000;0.102449
5.080000;0.094838
5.090000;0.087792
5.100000;0.081269
5.110000;0.075231
5.120000;0.069642
5.130000;0.064468
5.140000;0.059678
5.150000;0.055245
5.160000;0.051140
5.170000;0.047341
5.180000;0.043824
5.190000;0.040568
5.200000;0.037554
5.210000;0.034764
5.220000;0.032181
5.230000;0.029790
5.240000;0.027577
5.250000;0.025528
5.260000;0.023631
5.270000;0.021876
5.280000;0.020250
5.290000;0.018746
5.300000;0.017353
5.310000;0.016064
5.320000;0.014870
5.330000;0.013766
5.340000;0.012743
5.350000;0.011796
5.360000;0.010920
5.370000;0.010109
5.380000;0.009358
5.390000;0.008662
5.400000;0.008019
5.410000;0.007423
5.420000;0.006871
5.430000;0.006361
5.440000;0.005888
5.450000;0.005451
5.460000;0.005046
5.470000;0.004671
5.480000;0.004324
5.490000;0.004003
5.500000;0.003705
5.510000;0.328430
5.520000;0.966568
5.530000;1.570318
5.540000;2.129715
5.550000;2.647571
5.560000;3.126954
5.570000;3.570721
5.580000;3.981518
5.590000;4.361795
5.600000;4.713820
5.610000;5.039691
5.620000;5.341351
5.630000;5.620599
5.640000;5.879101
5.650000;6.118398
5.660000;6.339916
5.670000;6.544976
5.680000;6.734801
5.690000;6.910523
5.700000;7.073190
5.710000;7.223772
5.720000;7.363166
5.730000;7.492204
5.740000;7.611655
5.750000;7.722232
5.760000;7.824593
5.770000;7.919349
5.780000;8.007065
5.790000;8.083376
5.800000;8.153829
5.810000;8.216406
5.820000;8.274232
5.830000;8.326462
5.840000;8.374508
5.850000;8.427792
5.860000;8.475430
5.870000;8.519464
5.880000;8.557254
5.890000;8.591846
5.900000;8.629102
5.910000;8.661379
5.920000;8.691172
5.930000;8.716277
5.940000;8.737276
5.950000;8.761790
5.960000;8.783256
5.970000;8.801382
5.980000;8.821661
5.990000;8.838732
6.000000;8.852115
6.010000;8.867101
6.020000;8.883382
6.030000;8.899390
6.040000;8.911315
6.050000;8.919433
6.060000;8.927661
6.070000;8.936384
6.080000;8.945001
6.090000;8.952950
6.100000;8.959950
6.110000;8.965956
6.120000;8.971048
6.130000;8.975352
6.140000;8.978992
6.150000;8.982079
