Zeit [s];y
;-
0;1
0;"0CDCFF"
0.010000;-0.000000
0.030000;-0.000005
0.050000;-0.000010
0.070000;0.000020
0.090000;0.000100
0.110000;0.000188
0.130000;0.000210
0.150000;0.000064
0.170000;-0.000361
0.190000;-0.001143
0.210000;-0.002262
0.230000;-0.003559
0.250000;-0.004767
0.270000;-0.005662
0.290000;-0.006168
0.310000;-0.006315
0.330000;-0.006223
0.350000;-0.006076
0.370000;-0.006052
0.390000;-0.006203
0.410000;-0.006449
0.430000;-0.006684
0.450000;-0.006791
0.470000;-0.006690
0.490000;-0.006409
0.510000;-0.005975
0.530000;-0.004795
0.550000;-0.000009
0.570000;0.013489
0.590000;0.041050
0.610000;0.086378
0.630000;0.150557
0.650000;0.232140
0.670000;0.328076
0.690000;0.435002
0.710000;0.550394
0.730000;0.673218
0.750000;0.803954
0.770000;0.944109
0.790000;1.095475
0.810000;1.259431
0.830000;1.436523
0.850000;1.626397
0.870000;1.828053
0.890000;2.040269
0.910000;2.262017
0.930000;2.492737
0.950000;2.732398
0.970000;2.981377
0.990000;3.240216
1.010000;3.509376
1.030000;3.789059
1.050000;4.079161
1.070000;4.379324
1.090000;4.689080
1.110000;5.007990
1.130000;5.335756
1.150000;5.672263
1.170000;6.017550
1.190000;6.371737
1.210000;6.734937
1.230000;7.107187
1.250000;7.488423
1.270000;7.878488
1.290000;8.277172
1.310000;8.684264
1.330000;9.099595
1.350000;9.523055
1.370000;9.954593
1.390000;10.394192
1.410000;10.841833
1.430000;11.297376
1.450000;11.760386
1.470000;12.230037
1.490000;12.705118
1.510000;13.184128
1.530000;13.665478
1.550000;14.147754
1.570000;14.629858
1.590000;15.110981
1.610000;15.590427
1.630000;16.067548
1.650000;16.541759
1.670000;17.012434
1.690000;17.478842
1.710000;17.940195
1.730000;18.395722
1.750000;18.844729
1.770000;19.286573
1.790000;19.720684
1.810000;20.146609
1.830000;20.563977
1.850000;20.972443
1.870000;21.371728
1.890000;21.761666
1.910000;22.142079
1.930000;22.512699
1.950000;22.873230
1.970000;23.223388
1.990000;23.562942
2.010000;23.891784
2.030000;24.209975
2.050000;24.517641
2.070000;24.814892
2.090000;25.101783
2.110000;25.378336
2.130000;25.644545
2.150000;25.900411
2.170000;26.145960
2.190000;26.381300
2.210000;26.606598
2.230000;26.822044
2.250000;27.027904
2.270000;27.224523
2.290000;27.412244
2.310000;27.591320
2.330000;27.761926
2.350000;27.924146
2.370000;28.077989
2.390000;28.223511
2.410000;28.360926
2.430000;28.490577
2.450000;28.612857
2.470000;28.728140
2.490000;28.836796
2.510000;28.939210
2.530000;29.035754
2.550000;29.126708
2.570000;29.212217
2.590000;29.292419
2.610000;29.367514
2.630000;29.437743
2.650000;29.503340
2.670000;29.564557
2.690000;29.621701
2.710000;29.675099
2.730000;29.725023
2.750000;29.771682
2.770000;29.815223
