Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF"
0;-0.625782;0.016755;0.048067;0.262093;100000000.000000;0.100000
1;-0.625782;0.016755;0.048067;0.262093;100000000.000000;0.100000
2;-0.625782;0.016755;0.048067;0.262093;100000000.000000;0.100000
3;-1.022523;0.028275;-0.854534;1.644642;100000000.000000;0.100000
4;-1.022523;0.028275;-0.854534;1.644642;100000000.000000;0.100000
5;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
6;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
7;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
8;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
9;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
10;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
11;-1.022523;0.028275;-0.725003;2.195114;100000000.000000;0.100000
12;-1.351696;0.043559;-1.317375;1.971943;100000000.000000;0.100000
13;-1.351696;0.043559;-1.317375;1.971943;100000000.000000;0.100000
14;-1.351696;0.043559;-1.317375;1.971943;100000000.000000;0.100000
15;-1.440226;-0.758434;-1.265627;2.413656;100000000.000000;0.100000
16;-1.764364;-0.669701;-1.379313;2.669223;100000000.000000;0.100000
17;-1.764364;-0.669701;-1.379313;2.669223;100000000.000000;0.100000
18;-1.239652;0.015138;-1.098822;2.459286;100000000.000000;0.100000
19;-1.239652;0.015138;-1.098822;2.459286;100000000.000000;0.100000
20;-1.239652;0.015138;-1.098822;2.459286;100000000.000000;0.100000
21;-1.239652;0.015138;-1.098822;2.459286;100000000.000000;0.100000
22;-1.925413;0.002451;-1.188017;3.228506;100000000.000000;0.100000
23;-1.925413;0.002451;-1.188017;3.228506;100000000.000000;0.100000
24;-1.925413;0.002451;-1.188017;3.228506;100000000.000000;0.100000
25;-1.925413;0.002451;-1.188017;3.228506;100000000.000000;0.100000
26;-1.925413;0.002451;-1.188017;3.228506;100000000.000000;0.100000
27;-1.810819;-0.007036;-1.109789;3.305754;100000000.000000;0.100000
28;-1.810819;-0.007036;-1.109789;3.305754;100000000.000000;0.100000
29;-1.430427;-0.000445;-1.040943;2.997607;100000000.000000;0.100000
30;-1.430427;-0.000445;-1.040943;2.997607;100000000.000000;0.100000
31;-1.430427;-0.000445;-1.040943;2.997607;100000000.000000;0.100000
32;-1.434395;0.008171;-0.970231;3.176847;100000000.000000;0.100000
33;-1.434395;0.008171;-0.970231;3.176847;100000000.000000;0.100000
34;-1.450350;-0.004803;-0.931972;3.845670;100000000.000000;0.100000
35;-1.615919;-0.016319;-0.908292;4.192511;100000000.000000;0.100000
36;-1.615919;-0.016319;-0.908292;4.192511;100000000.000000;0.100000
37;-1.615919;-0.016319;-0.908292;4.192511;100000000.000000;0.100000
38;-1.226116;-0.017826;-0.807191;3.601650;100000000.000000;0.100000
39;-1.459678;0.002451;-0.887359;3.693942;100000000.000000;0.100000
40;-1.459678;0.002451;-0.887359;3.693942;100000000.000000;0.100000
