Epoche;Durchschnitt
Fehler;-
0;1
0;"12CAFF"
0;42331.165274
1;41346.561378
2;39645.716205
3;37822.776968
4;35288.039766
5;32616.358990
6;29667.616014
7;27010.051608
8;24387.952460
9;22000.995530
10;19923.331259
11;18000.648180
12;16269.627890
13;14691.870692
14;13262.597087
15;11973.760519
16;10810.892809
17;9761.771816
18;8816.738005
19;7965.811853
20;7200.410235
21;6510.946472
22;5890.042393
23;5331.195836
24;4828.040832
25;4375.223894
26;3967.581129
27;3600.572523
28;3270.221030
29;2973.222895
30;2705.703101
31;2465.021784
32;2248.399441
33;2053.397797
34;1877.808009
35;1719.683301
36;1577.481565
37;1449.630577
38;1334.386259
39;1230.720269
40;1137.354104
41;1053.324934
42;977.659884
43;909.629762
44;848.318378
45;793.157074
46;743.527131
47;699.015053
48;658.554000
49;622.128041
50;589.269980
51;559.790146
52;533.153716
53;509.222535
54;487.751665
55;468.380012
56;450.905578
57;435.179383
58;421.025903
59;408.172987
60;396.787548
61;386.366248
62;376.844009
63;368.292029
64;360.891331
65;354.175522
66;347.991310
67;342.678837
68;337.713080
69;333.282393
70;329.138434
71;325.509772
72;322.077403
73;318.970310
74;316.286226
75;313.689355
76;311.494526
77;309.581613
78;307.718889
79;306.145839
80;304.631356
81;303.236082
82;302.122670
83;301.058843
84;300.214462
85;299.474980
86;298.788008
87;298.129243
88;297.482315
89;296.823241
90;296.234552
91;295.692372
92;295.146559
93;294.809575
94;294.402121
95;293.995431
96;293.825053
97;293.576229
98;293.557588
99;293.275270
100;293.075711
101;46281.779316
102;87562.468087
103;124095.667876
104;155888.579106
105;183532.241344
106;207576.627086
107;227999.376453
108;245386.255563
109;258027.898585
110;266820.335202
111;272668.986985
112;276208.091852
113;277994.775087
114;279283.931190
115;279295.896938
116;279098.088758
117;278914.978878
118;277832.009171
119;275041.581319
120;271290.716371
121;266063.804558
122;260179.346187
123;253234.387659
124;245009.486943
125;237124.834646
126;229758.854422
127;220598.632067
128;210241.895911
129;200644.830038
130;191316.868314
131;182702.281348
132;173477.289322
133;161945.756754
134;150813.849369
135;139684.149342
136;128399.312027
137;116838.449737
138;106257.248359
139;96354.312842
140;87449.837289
141;79277.930521
142;72011.629013
143;65319.482467
144;59465.677541
145;54013.688979
146;49009.761962
147;44487.038583
148;40391.196558
149;36715.144968
150;33381.806975
151;30440.894711
152;27826.254766
153;25332.338409
154;23300.102752
155;21266.329483
156;19356.106356
157;17578.575864
158;16088.648713
159;14593.797047
160;13285.278576
161;12160.779689
162;11055.990862
163;10001.105752
164;9161.506686
165;8289.549974
166;7622.030588
167;6947.554116
168;6430.542680
169;5854.882401
170;5473.702392
171;5018.642105
172;4761.257903
173;4406.446855
174;4016.094837
175;3710.807792
176;3413.958559
177;3127.044342
178;2900.448063
179;2741.295682
