Zeit [s];y
;-
0;1
0;"2496FF"
0.010000;0.000000
0.020000;0.000000
0.030000;0.000000
0.040000;0.000000
0.050000;0.000000
0.060000;0.000000
0.070000;0.000000
0.080000;0.000000
0.090000;0.000000
0.100000;0.000000
0.120000;0.000000
0.130000;0.000000
0.140000;0.000000
0.150000;0.000000
0.160000;0.000000
0.170000;0.000000
0.180000;0.000000
0.190000;0.000000
0.200000;0.000000
0.210000;0.000000
0.220000;0.000000
0.230000;0.000000
0.240000;0.000000
0.250000;0.000000
0.260000;0.000000
0.270000;0.000000
0.280000;0.000000
0.290000;0.000000
0.300000;0.000000
0.310000;0.000000
0.320000;0.000000
0.330000;0.000000
0.340000;0.000000
0.350000;0.000000
0.360000;0.000000
0.370000;0.000000
0.380000;0.000000
0.390000;0.000000
0.400000;0.000000
0.410000;0.000000
0.420000;0.000000
0.430000;0.000000
0.440000;0.000000
0.450000;0.000000
0.460000;0.000000
0.470000;0.000000
0.480000;0.000000
0.490000;0.000000
0.500000;0.215727
0.510000;0.617885
0.520000;0.909192
0.530000;1.055229
0.540000;1.103098
0.550000;1.103098
0.560000;1.087112
0.570000;1.070002
0.580000;1.056468
0.590000;1.046720
0.600000;1.039671
0.610000;1.034271
0.620000;1.029846
0.630000;1.026047
0.640000;1.022716
0.650000;1.019783
0.660000;1.017209
0.670000;1.014959
0.680000;1.012999
0.690000;1.011295
0.700000;1.009815
0.710000;1.008529
0.720000;1.007412
0.730000;1.006442
0.740000;1.005598
0.750000;1.004865
0.760000;1.004228
0.770000;1.003674
0.780000;1.003193
0.790000;1.002775
0.800000;1.002411
0.810000;1.002096
0.820000;1.001821
0.830000;1.001582
0.840000;1.001375
0.850000;1.001195
0.860000;1.001038
0.870000;1.000902
0.880000;1.000784
0.890000;1.000681
0.900000;1.000591
0.910000;1.000514
0.920000;1.000446
0.930000;1.000388
0.940000;1.000337
0.950000;1.000292
0.960000;1.000254
0.970000;1.000220
0.980000;1.000191
0.990000;1.000166
1.000000;0.964434
1.010000;0.894270
1.020000;0.827887
1.030000;0.766382
1.040000;0.709444
1.050000;0.656736
1.060000;0.607943
1.070000;0.562776
1.080000;0.520965
1.090000;0.482260
1.100000;0.446430
1.110000;0.413263
1.120000;0.382560
1.130000;0.354137
1.140000;0.327827
1.150000;0.303471
1.160000;0.280925
1.170000;0.260053
1.180000;0.240733
1.190000;0.222847
1.200000;0.206291
1.210000;0.190965
1.220000;0.176777
1.230000;0.163643
1.240000;0.151485
1.250000;0.140231
1.260000;0.129812
1.270000;0.120168
1.280000;0.111240
1.290000;0.102976
1.300000;0.095325
1.310000;0.088243
1.320000;0.081687
1.330000;0.075618
1.340000;0.070000
1.350000;0.064799
1.360000;0.059985
1.370000;0.055528
1.380000;0.051403
1.390000;0.047584
1.400000;0.044049
1.410000;0.040776
1.420000;0.037747
