Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"2496FF";"2496FF";"2496FF";"2496FF";"2496FF";"2496FF"
0;4.866787;1.994385;-5.836665;0.775079;10.000000;0.100000
1;-5.814692;8.197272;18.486282;1.226447;10.000000;0.100000
2;4.823908;6.014893;13.608051;0.437696;10.000000;0.100000
3;10.771203;5.390370;0.428480;0.623478;10.000000;0.100000
4;10.771203;5.390370;0.428480;0.623478;10.000000;0.100000
5;10.771203;5.390370;0.428480;0.623478;10.000000;0.100000
6;20.532758;14.897382;-3.968589;2.790979;10.000000;0.100000
7;20.532758;14.897382;-3.968589;2.790979;10.000000;0.100000
8;17.631382;11.245689;-5.467734;1.226447;10.000000;0.100000
9;17.631382;11.245689;-5.467734;1.226447;10.000000;0.100000
10;17.631382;11.245689;-5.467734;1.226447;10.000000;0.100000
11;17.631382;11.245689;-5.467734;1.226447;10.000000;0.100000
12;17.631382;11.245689;-5.467734;1.226447;10.000000;0.100000
13;21.522656;13.601798;-3.288281;2.274887;10.000000;0.100000
14;14.024700;13.211324;-2.380406;2.648814;10.000000;0.100000
15;14.024700;13.211324;-2.380406;2.648814;10.000000;0.100000
16;14.024700;13.211324;-2.380406;2.648814;10.000000;0.100000
17;14.024700;13.211324;-2.380406;2.648814;10.000000;0.100000
18;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
19;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
20;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
21;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
22;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
23;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
24;17.936493;17.062108;-4.217218;2.036683;10.000000;0.100000
25;12.417409;19.110246;-2.869112;1.952413;10.000000;0.100000
26;20.186296;17.744585;-5.815734;1.721581;10.000000;0.100000
27;15.007131;20.309899;-3.730302;1.812307;10.000000;0.100000
28;15.007131;20.309899;-3.730302;1.812307;10.000000;0.100000
29;16.311140;18.981930;-5.534038;1.569829;10.000000;0.100000
30;15.846963;19.515464;-5.187957;1.696583;10.000000;0.100000
31;15.846963;19.515464;-5.187957;1.696583;10.000000;0.100000
32;15.846963;19.515464;-5.187957;1.696583;10.000000;0.100000
33;15.652156;22.191588;-3.921178;2.146798;10.000000;0.100000
34;15.937941;23.094248;-4.033043;1.940733;10.000000;0.100000
35;15.030731;22.730141;-3.579916;2.112392;10.000000;0.100000
36;15.937941;23.633114;-4.621169;1.793356;10.000000;0.100000
37;15.937941;23.633114;-4.621169;1.793356;10.000000;0.100000
38;18.108728;23.394809;-6.988488;1.467039;10.000000;0.100000
39;18.108728;23.394809;-6.988488;1.467039;10.000000;0.100000
40;15.084732;26.887331;-3.921303;1.973681;10.000000;0.100000
41;15.084732;26.887331;-3.921303;1.973681;10.000000;0.100000
42;15.084732;26.887331;-3.921303;1.973681;10.000000;0.100000
43;15.084732;26.887331;-3.921303;1.973681;10.000000;0.100000
44;15.084732;26.887331;-3.921303;1.973681;10.000000;0.100000
