Zeit [s];r [rad];u1;d;y2 [rad]
1.39;31.415927;-10;0;8.667654131
1.4;31.415927;-10;0;8.940972692
1.41;31.415927;-10;0;9.280264699
1.42;31.415927;-10;0;9.280264699
1.43;31.415927;-10;0;9.544158482
1.44;31.415927;-10;0;9.87402571
1.45;31.415927;-10;0;9.87402571
1.46;31.415927;-10;0;10.20703453
1.47;31.415927;-9.723376456;0;10.5211938
1.48;31.415927;-10;0;10.5211938
1.49;31.415927;-9.15948385;0;10.87933536
1.5;31.415927;-8.409648499;0;11.19349462
1.51;31.415927;-8.811528687;0;11.19349462
1.52;31.415927;-7.895050654;0;11.55477778
1.53;31.415927;-8.305366624;0;11.55477778
1.54;31.415927;-7.38564862;0;11.91920253
1.55;31.415927;-6.717892735;0;12.22079542
1.56;31.415927;-7.153551677;0;12.22079542
1.57;31.415927;-6.235462109;0;12.59150336
1.58;31.415927;-5.557713773;0;12.90252103
1.59;31.415927;-6.017395895;0;12.90252103
1.6;31.415927;-5.077043058;0;13.28579533
1.61;31.415927;-4.468025688;0;13.58424663
1.62;31.415927;-4.948710112;0;13.58424663
1.63;31.415927;-4.062402227;0;13.95809616
1.64;31.415927;-3.267870085;0;14.31309613
1.65;31.415927;-3.772514372;0;14.31309613
1.66;31.415927;-2.863882613;0;14.69951203
1.67;31.415927;-3.371275008;0;14.69951203
1.68;31.415927;-2.544473216;0;15.06393677
1.69;31.415927;-1.626224571;0;15.45977745
1.7;31.415927;-2.157999613;0;15.45977745
1.71;31.415927;-1.411106725;0;15.80849423
1.72;31.415927;-0.502049252;0;16.2074765
1.73;31.415927;-1.053817374;0;16.2074765
1.74;31.415927;-0.326060759;0;16.55619328
1.75;31.415927;0.643880175;0;16.9771667
1.76;31.415927;0.072015758;0;16.9771667
1.77;31.415927;0.950250832;0;17.37300737
1.78;31.415927;1.681314014;0;17.73429053
1.79;31.415927;1.093529156;0;17.73429053
1.8;31.415927;1.990468773;0;18.13955598
1.81;31.415927;1.404710538;0;18.13955598
1.82;31.415927;2.111247956;0;18.49141436
1.83;31.415927;2.936540931;0;18.88097185
1.84;31.415927;2.338185481;0;18.88097185
1.85;31.415927;3.134493665;0;19.26110456
1.86;31.415927;3.65077799;0;19.56898064
1.87;31.415927;3.047747273;0;19.56898064
1.88;31.415927;3.783009395;0;19.93340539
1.89;31.415927;3.188047812;0;19.93340539
1.9;31.415927;3.772634005;0;20.25384784
1.91;31.415927;4.480017691;0;20.6119894
1.92;31.415927;3.880764022;0;20.6119894
1.93;31.415927;4.506499028;0;20.94499822
1.94;31.415927;5.027457161;0;21.2528743
1.95;31.415927;4.428900029;0;21.2528743
1.96;31.415927;5.043987515;0;21.58274153
1.97;31.415927;5.48675061;0;21.86862646
1.98;31.415927;4.891720118;0;21.86862646
1.99;31.415927;5.578068547;0;22.21734325
2;31.415927;5.942664284;0;22.48123703
2.01;31.415927;5.351186923;0;22.48123703
2.02;31.415927;6.00699354;0;22.82052904
2.03;31.415927;5.425548049;0;22.82052904
2.04;31.415927;5.943871596;0;23.11898034
2.05;31.415927;6.643574586;0;23.47083871
2.06;31.415927;6.059361114;0;23.47083871
2.07;31.415927;6.51846415;0;23.75358205
2.08;31.415927;6.95723615;0;24.0331838
2.09;31.415927;6.380777313;0;24.0331838
2.1;31.415927;6.926502336;0;24.33791829
2.11;31.415927;6.362846682;0;24.33791829
2.12;31.415927;6.751112715;0;24.59552888
2.13;31.415927;7.222964129;0;24.87827222
2.14;31.415927;6.66697135;0;24.87827222
2.15;31.415927;7.107828837;0;25.14844919
2.16;31.415927;7.325007331;0;25.3589359
2.17;31.415927;6.782759073;0;25.3589359
2.18;31.415927;7.157572454;0;25.60712172
2.19;31.415927;7.34465086;0;25.80504206
2.2;31.415927;6.818375694;0;25.80504206
2.21;31.415927;7.14059227;0;26.03437832
2.22;31.415927;6.631705961;0;26.03437832
2.23;31.415927;6.800852707;0;26.21659069
2.24;31.415927;7.094075603;0;26.43336059
2.25;31.415927;6.602221377;0;26.43336059
