Zeit [s];y_1Modell;y_1Ref;y_2Modell;y_2Ref
Winkel [rad];-;--;-;--
1.01;2.750989883;2.29650423;-2.453848303;-2.166128135
1.02;2.841997588;2.375044046;-2.546565369;-2.24938034
1.03;2.931921174;2.453583862;-2.640073322;-2.337344934
1.04;3.02077371;2.532123679;-2.734010814;-2.425309529
1.05;3.108574848;2.598097125;-2.827992849;-2.505420141
1.06;3.195349081;2.66407057;-2.921639401;-2.585530754
1.07;3.281123993;2.722190034;-3.014598775;-2.657787385
1.08;3.365928612;2.780309498;-3.106565157;-2.730044016
1.09;3.449791955;2.846282944;-3.197290277;-2.811725425
1.1;3.532741816;2.91225639;-3.286589478;-2.893406834
1.11;3.614803835;3.028495318;-3.374342775;-3.044203281
1.12;3.696000857;3.144734246;-3.460491715;-3.194999729
1.13;3.776352563;3.218561674;-3.545032952;-3.284535119
1.14;3.855875365;3.292389101;-3.628009508;-3.37407051
1.15;3.934582506;3.348937769;-3.709500657;-3.443185548
1.16;4.012484338;3.405486436;-3.789611305;-3.512300587
1.17;4.089588729;3.463605901;-3.868461611;-3.570420051
1.18;4.165901542;3.521725365;-3.946177444;-3.628539515
1.19;4.241427152;3.647389071;-4.022882137;-3.752632425
1.2;4.316168961;3.773052777;-4.098689814;-3.876725335
1.21;4.39012988;3.845309408;-4.17370044;-3.937986391
1.22;4.463312747;3.917566039;-4.247996594;-3.999247448
1.23;4.535720681;4.002389041;-4.321641885;-4.068362486
1.24;4.60735734;4.087212042;-4.3946808;-4.137477525
1.25;4.678227106;4.156327081;-4.46713977;-4.187743007
1.26;4.748335185;4.225442119;-4.539029166;-4.23800849
1.27;4.817687627;4.288273972;-4.610345933;-4.288273972
1.28;4.886291294;4.351105825;-4.681076606;-4.338539455
1.29;4.954153772;4.478340328;-4.751200442;-4.445353605
1.3;5.021283251;4.60557483;-4.820692455;-4.552167755
1.31;5.087688381;4.671548276;-4.889526186;-4.607145626
1.32;5.153378121;4.737521722;-4.957676081;-4.662123498
1.33;5.21836159;4.809778353;-5.025119393;-4.734380129
1.34;5.282647927;4.882034984;-5.091837582;-4.80663676
1.35;5.346246174;4.935442059;-5.157817199;-4.861614631
1.36;5.40916517;4.988849134;-5.223050302;-4.916592503
1.37;5.471413488;5.045397802;-5.287534453;-4.980995152
1.38;5.532999375;5.101946469;-5.351272364;-5.045397802
1.39;5.593930734;5.196194249;-5.414271285;-5.164778323
1.4;5.654215119;5.290442029;-5.47654221;-5.284158843
1.41;5.713859747;5.342278307;-5.538098981;-5.348561493
1.42;5.772871526;5.394114586;-5.598957372;-5.412964142
1.43;5.831257095;5.438096883;-5.659134194;-5.46951281
1.44;5.889022865;5.482079181;-5.718646501;-5.526061478
1.45;5.946175067;5.573185367;-5.777510906;-5.636017221
1.46;6.002719794;5.664291554;-5.835743034;-5.745972963
1.47;6.058663046;5.719269426;-5.893357138;-5.800950835
1.48;6.114010762;5.774247297;-5.950365852;-5.855928706
1.49;6.168768851;5.819800391;-6.006780086;-5.906194189
1.5;6.222943215;5.865353484;-6.062609046;-5.956459671
1.51;6.276539761;5.940751708;-6.117860345;-6.028716302
1.52;6.32956441;6.016149932;-6.172540196;-6.100972933
1.53;6.382023098;6.071127803;-6.226653649;-6.14495523
1.54;6.433921772;6.126105675;-6.280204861;-6.188937528
1.55;6.485266382;6.184225139;-6.333197364;-6.237632214
1.56;6.536062873;6.242344603;-6.385634325;-6.2863269
1.57;6.58631717;6.353871142;-6.437518785;-6.374291494
1.58;6.636035166;6.465397681;-6.488853846;-6.462256088
1.59;6.685222711;6.520375553;-6.539642835;-6.509379978
1.6;6.733885599;6.575353424;-6.589889412;-6.556503868
1.61;6.782029562;6.647610055;-6.639597634;-6.614623332
1.62;6.829660258;6.719866686;-6.688771984;-6.672742796
1.63;6.876783269;6.768561372;-6.737417367;-6.719866686
1.64;6.923404097;6.817256058;-6.785539066;-6.766990576
1.65;6.969528162;6.862809152;-6.833142691;-6.810972873
1.66;7.015160802;6.908362245;-6.880234106;-6.85495517
1.67;7.06030728;6.997897636;-6.926819351;-6.94920295
1.68;7.104972781;7.087433026;-6.972904561;-7.043450729
1.69;7.149162418;7.131415324;-7.018495894;-7.095287008
1.7;7.192881238;7.175397621;-7.063599463;-7.147123287
1.71;7.236134225;7.211525936;-7.108221281;-7.191105584
1.72;7.278926306;7.247654252;-7.152367215;-7.235087881
1.73;7.321262351;7.290065753;-7.196042961;-7.28692416
1.74;7.36314718;7.332477253;-7.23925402;-7.338760439
1.75;7.404585568;7.371747162;-7.282005698;-7.387455125
1.76;7.44558224;7.41101707;-7.324303107;-7.436149811
1.77;7.48614188;7.498981664;-7.366151179;-7.541393165
