Zeit [s];r [rad];d;y2Systune [rad];y2Genetic [rad];y2DifferentialEvol [rad]
1.14;31.415927;0;4.772079241;5.416105735;4.954291615
1.15;31.415927;0;4.9605748;5.416105735;5.167919915
1.16;31.415927;0;4.9605748;5.654866776;5.346990696
1.17;31.415927;0;5.164778323;5.925043745;5.346990696
1.18;31.415927;0;5.318716363;5.925043745;5.56376059
1.19;31.415927;0;5.318716363;6.166946379;5.56376059
1.2;31.415927;0;5.526061478;6.474822459;5.745972963
1.21;31.415927;0;5.526061478;6.474822459;5.956459671
1.22;31.415927;0;5.673716332;6.754424205;5.956459671
1.23;31.415927;0;5.852787114;7.021459581;6.14495523
1.24;31.415927;0;5.852787114;7.021459581;6.380574679
1.25;31.415927;0;6.044424266;7.310486105;6.380574679
1.26;31.415927;0;6.210928676;7.310486105;6.591061387
1.27;31.415927;0;6.210928676;7.590087851;6.810972873
1.28;31.415927;0;6.39314105;7.916813487;6.810972873
1.29;31.415927;0;6.553362275;7.916813487;7.065441878
1.3;31.415927;0;6.553362275;8.234114345;7.285353364
1.31;31.415927;0;6.763848983;8.519999277;7.285353364
1.32;31.415927;0;6.930353394;8.519999277;7.549247147
1.33;31.415927;0;6.930353394;8.859291283;7.788008188
1.34;31.415927;0;7.15026488;9.164025771;7.788008188
1.35;31.415927;0;7.15026488;9.164025771;8.070751527
1.36;31.415927;0;7.345043624;9.522167333;8.070751527
1.37;31.415927;0;7.520972813;9.867742525;8.344070088
1.38;31.415927;0;7.520972813;9.867742525;8.667654131
1.39;31.415927;0;7.744025891;10.29185753;8.667654131
1.4;31.415927;0;7.744025891;10.29185753;8.940972692
1.41;31.415927;0;7.929379858;10.62486635;9.280264699
1.42;31.415927;0;8.127300195;11.06154773;9.280264699
1.43;31.415927;0;8.127300195;11.06154773;9.544158482
1.44;31.415927;0;8.296946198;11.42597248;9.87402571
1.45;31.415927;0;8.48858335;11.76840608;9.87402571
1.46;31.415927;0;8.48858335;11.76840608;10.20703453
1.47;31.415927;0;8.661370946;12.16110516;10.5211938
1.48;31.415927;0;8.84358332;12.52552991;10.5211938
1.49;31.415927;0;8.84358332;12.52552991;10.87933536
1.5;31.415927;0;9.019512508;12.93707855;11.19349462
1.51;31.415927;0;9.182875326;13.2983617;11.19349462
1.52;31.415927;0;9.182875326;13.2983617;11.55477778
1.53;31.415927;0;9.361946108;13.70676875;11.55477778
1.54;31.415927;0;9.361946108;13.70676875;11.91920253
1.55;31.415927;0;9.51902574;14.08690146;12.22079542
1.56;31.415927;0;9.682388558;14.41991028;12.22079542
1.57;31.415927;0;9.682388558;14.41991028;12.59150336
1.58;31.415927;0;9.848892969;14.80004299;12.90252103
1.59;31.415927;0;10.00283101;15.12991022;12.90252103
1.6;31.415927;0;10.00283101;15.12991022;13.28579533
1.61;31.415927;0;10.18190179;15.51318452;13.58424663
1.62;31.415927;0;10.33898142;15.87446768;13.58424663
1.63;31.415927;0;10.33898142;15.87446768;13.95809616
