Zeit [s];y_1;y_2
Winkel [rad];-;-
2.2;9.528450518;-9.525308926
2.22;9.591282371;-9.588140779
2.24;9.644689447;-9.644689447
2.26;9.729512448;-9.735795633
2.28;9.782919523;-9.795485894
2.3;9.839468191;-9.855176154
2.32;9.939999156;-9.958848712
2.34;9.996547824;-10.01539738
2.36;10.04053012;-10.05623808
2.38;10.09707879;-10.10964516
2.4;10.19446816;-10.20075135
2.42;10.24787524;-10.25415842
2.44;10.29185753;-10.29185753
2.46;10.37668053;-10.37982213
2.48;10.42066283;-10.42694602
2.5;10.45836194;-10.46150354
2.52;10.49920265;-10.50548583
2.54;10.58088406;-10.59345043
2.56;10.62172476;-10.63429113
2.58;10.65628228;-10.66884865
2.6;10.7316805;-10.74110528
2.62;10.77252121;-10.78194599
2.64;10.80707873;-10.81336191
2.66;10.85420262;-10.8604858
2.68;10.88876014;-10.89504332
2.7;10.95473358;-10.92960084
2.72;10.9892911;-10.99557429
2.74;11.02070703;-11.02699021
2.76;11.04898136;-11.05526455
2.78;11.08039729;-11.08668047
2.8;11.14008755;-11.14951233
2.82;11.16836188;-11.17778666
2.84;11.19035303;-11.2029194
2.86;11.21862737;-11.22805214
2.88;11.26575126;-11.27517603
2.9;11.290884;-11.30030877
2.92;11.31287515;-11.31915833
2.94;11.33486629;-11.34429107
2.96;11.37884859;-11.38199018
2.98;11.39769815;-11.40398133
3;11.4165477;-11.42283089
3.02;11.43539726;-11.44168044
3.04;11.46681319;-11.47623796
3.06;11.48566274;-11.49508752
3.08;11.49822911;-11.51079548
3.1;11.51393708;-11.52650345
3.12;11.54221141;-11.55163619
3.14;11.55477778;-11.56420256
3.16;11.56734415;-11.57676893
3.18;11.5893353;-11.5893353
3.2;11.59876008;-11.60818486
3.22;11.60818486;-11.61760963
3.24;11.61760963;-11.62389282
3.26;11.62389282;-11.6333176
3.28;11.63960078;-11.64588397
3.3;11.64274237;-11.65216715
3.32;11.64902556;-11.65530874
3.34;11.65530874;-11.66473352
3.36;11.65845034;-11.66787512
3.38;11.65845034;-11.67101671
3.4;11.66159193;-11.67101671
3.42;11.66159193;-11.67101671
3.44;11.66159193;-11.67101671
3.46;11.66159193;-11.66787512
3.48;11.66159193;-11.66787512
3.5;11.65845034;-11.66473352
3.52;11.65845034;-11.66159193
3.54;11.65845034;-11.66159193
3.56;11.65845034;-11.66159193
3.58;11.65845034;-11.66159193
3.6;11.65845034;-11.66159193
3.62;11.65845034;-11.66159193
3.64;11.65845034;-11.66159193
3.66;11.65845034;-11.66159193
3.68;11.65845034;-11.66159193
3.7;11.65845034;-11.66159193
3.72;11.65845034;-11.66159193
3.74;11.65845034;-11.66159193
3.76;11.65845034;-11.66159193
3.78;11.65845034;-11.66159193
3.8;11.65845034;-11.66159193
3.82;11.65845034;-11.66159193
3.84;11.65845034;-11.66159193
3.86;11.65845034;-11.66159193
3.88;11.65845034;-11.66159193
3.9;11.65845034;-11.66159193
3.92;11.65845034;-11.66159193
3.94;11.65845034;-11.66159193
3.96;11.65845034;-11.66159193
3.98;11.65845034;-11.66159193
4;11.65845034;-11.66159193
4.02;11.65845034;-11.66159193
4.04;11.65845034;-11.66159193
4.06;11.65845034;-11.66159193
4.08;11.65845034;-11.66159193
4.1;11.65845034;-11.66159193
4.12;11.65845034;-11.66159193
4.14;11.65845034;-11.66159193
4.16;11.65845034;-11.66159193
4.18;11.65845034;-11.66159193
4.2;11.65845034;-11.66159193
4.22;11.65845034;-11.66159193
4.24;11.65845034;-11.66159193
4.26;11.65845034;-11.66159193
4.28;11.65845034;-11.66159193
4.3;11.65845034;-11.66159193
4.32;11.65845034;-11.66159193
4.34;11.65845034;-11.66159193
4.36;11.65845034;-11.66159193
4.38;11.65845034;-11.66159193
4.4;11.65845034;-11.66159193
4.42;11.65845034;-11.66159193
4.44;11.65845034;-11.66159193
4.46;11.65845034;-11.66159193
4.48;11.65845034;-11.66159193
4.5;11.65845034;-11.66159193
4.52;11.65845034;-11.66159193
4.54;11.65845034;-11.66159193
4.56;11.65845034;-11.66159193
4.58;11.65845034;-11.66159193
4.6;11.65845034;-11.66159193
