Zeit [s];r [rad];u1;d;y2 [rad]
1.54;31.415927;-2.875232698;0;13.70676875
1.55;31.415927;-2.094230653;0;14.08690146
1.56;31.415927;-1.482823246;0;14.41991028
1.57;31.415927;-1.946528263;0;14.41991028
1.58;31.415927;-1.180631456;0;14.80004299
1.59;31.415927;-0.593735936;0;15.12991022
1.6;31.415927;-1.071062644;0;15.12991022
1.61;31.415927;-0.308235052;0;15.51318452
1.62;31.415927;0.365892671;0;15.87446768
1.63;31.415927;-0.126806194;0;15.87446768
1.64;31.415927;0.701335579;0;16.28287472
1.65;31.415927;1.368881501;0;16.64729947
1.66;31.415927;0.859950868;0;16.64729947
1.67;31.415927;1.612453412;0;17.03685696
1.68;31.415927;1.105790808;0;17.03685696
1.69;31.415927;1.790406887;0;17.4044233
1.7;31.415927;2.599151573;0;17.81597194
1.71;31.415927;2.077100331;0;17.81597194
1.72;31.415927;2.806996469;0;18.20238783
1.73;31.415927;3.349511449;0;18.53539666
1.74;31.415927;2.819661922;0;18.53539666
1.75;31.415927;3.502034237;0;18.90924618
1.76;31.415927;3.938479464;0;19.21083908
1.77;31.415927;3.405915925;0;19.21083908
1.78;31.415927;4.125719089;0;19.59725497
1.79;31.415927;4.648534543;0;19.9271222
1.8;31.415927;4.109683757;0;19.9271222
1.81;31.415927;4.763395569;0;20.29468854
1.82;31.415927;4.231270186;0;20.29468854
1.83;31.415927;4.661228737;0;20.58999825
1.84;31.415927;5.25327782;0;20.93871504
1.85;31.415927;4.721424219;0;20.93871504
1.86;31.415927;5.231716918;0;21.25915749
1.87;31.415927;5.66144955;0;21.55760879
1.88;31.415927;5.132353713;0;21.55760879
1.89;31.415927;5.615266747;0;21.86862646
1.9;31.415927;5.958366964;0;22.13880343
1.91;31.415927;5.435306671;0;22.13880343
1.92;31.415927;5.893987085;0;22.44039632
1.93;31.415927;6.283595342;0;22.72313966
1.94;31.415927;5.765538074;0;22.72313966
1.95;31.415927;6.219012829;0;23.02159097
1.96;31.415927;6.59351728;0;23.29805112
1.97;31.415927;6.080783657;0;23.29805112
1.98;31.415927;6.569397178;0;23.6059272
1.99;31.415927;6.067096254;0;23.6059272
2;31.415927;6.485653175;0;23.88867054
2.01;31.415927;6.816140171;0;24.14628114
2.02;31.415927;6.320619814;0;24.14628114
2.03;31.415927;6.745686867;0;24.42902447
2.04;31.415927;7.032378601;0;24.67092711
2.05;31.415927;6.544372329;0;24.67092711
2.06;31.415927;6.916598881;0;24.93482089
