Result_1Epoche;Result_1Durchschnitt;Result_2Durchschnitt;Result_3Durchschnitt;Result_4Durchschnitt;Result_5Durchschnitt
Fehler;-;-;-;-;-
0;1;1;1;1;1
0;0808FF;0642FF;057DFF;04B7FF;03F2FF
97;3785.931793;3211.457916;3939.918023;3849.431952;4229.913633
98;3743.725636;3192.160357;4036.476447;3790.545776;4223.215605
99;3711.660096;3172.095639;4053.550825;3749.560840;4280.810512
100;3674.422180;3152.538177;4037.978752;3692.390985;4330.738288
101;3699.631835;3138.769428;4147.836519;3638.614218;4256.854365
102;3711.477884;3128.080723;4234.946833;3589.164660;4215.799429
103;3697.768102;3120.000455;4364.529148;3579.613736;4166.737503
104;3695.596351;3125.030992;4325.668576;3626.159976;4148.097542
105;3665.886958;3163.460390;4215.990510;3677.863204;4180.182304
106;3637.699522;3160.374103;4125.415054;3945.766676;4195.883918
107;3616.813406;3159.897984;4041.674170;4026.214291;4123.670144
108;3587.410937;3138.590679;3961.443549;4060.622506;4090.068568
109;3668.969216;3122.517023;4000.681092;4073.583905;4137.048863
110;3794.435569;3115.137292;4002.200626;4119.099585;4129.784657
111;3757.937203;3102.714105;3972.276461;4154.308652;4161.949759
112;3713.883818;3119.730156;3895.717822;4243.892608;4243.229924
113;3748.255903;3125.666196;3832.129994;4263.023015;4256.264897
114;3844.498540;3108.924350;3786.609883;4222.240597;4277.432977
115;3938.482194;3111.219403;3743.645987;4217.842297;4326.537618
116;3902.927653;3096.220202;3788.612704;4145.670731;4283.054558
117;3914.234503;3099.237611;3820.249676;4071.821064;4286.107876
118;3870.778018;3090.808100;3827.728356;3981.895896;4345.352351
119;3880.137373;3130.569709;3756.481934;3903.735918;4264.388550
120;3888.527559;3203.274009;3694.286667;3860.082211;4207.970472
121;3882.384788;3225.525380;3643.243956;3780.493917;4188.281989
122;3823.881978;3323.551798;3614.364758;3749.618524;4206.292910
123;3854.454813;3427.550754;3566.234000;3673.607493;4133.648983
124;3859.088464;3521.851391;3615.458990;3604.344833;4093.873866
125;3832.883603;3650.210475;3654.760534;3537.652376;4110.163855
126;3786.386034;3714.237985;3817.341786;3551.961432;4129.985853
127;3738.815154;3775.201996;3882.924116;3518.957217;4200.895116
128;3689.701987;3772.404352;3965.440698;3465.340804;4267.901720
129;3637.210748;3810.555282;4000.345921;3437.284130;4403.527984
130;3592.295707;3829.775457;4052.086893;3502.913662;4340.661290
131;3545.337378;3849.566040;4100.922531;3503.270462;4332.590980
132;3496.461378;3843.058088;4012.398472;3482.211308;4254.878888
133;3456.924803;3910.060627;3921.868047;3458.621577;4243.845348
134;3418.380872;3953.544521;3831.270528;3466.155165;4213.210014
135;3416.359651;4005.927858;3774.324719;3602.357266;4138.683702
136;3389.305516;4056.068323;3693.962498;3641.699782;4068.345491
137;3362.042235;4108.189615;3618.778150;3731.385143;4042.955103
138;3390.397911;4171.862178;3551.892738;3791.394484;4051.544073
139;3381.166000;4181.986924;3490.947664;3834.816946;3992.734462
140;3433.500929;4150.962311;3499.450030;3825.360661;3934.083810
141;3426.235697;4090.082487;3448.448761;3812.577079;3877.221679
142;3443.898984;4165.235192;3446.844338;3762.301047;3823.793728
143;3508.728402;4176.393303;3399.436194;3726.600546;3835.301500
144;3569.767881;4118.236689;3426.935361;3699.463468;3875.284293
145;3556.626541;4048.234267;3419.307777;3694.324360;3844.924380
146;3516.978195;3981.331113;3377.418200;3628.946431;3841.654625
147;3534.423128;3965.848742;3370.309558;3649.889306;3914.960541
148;3524.896358;3993.278964;3377.142077;3624.681920;3956.499345
149;3521.577114;4017.441102;3383.415029;3655.169333;3971.925181
150;3485.187928;4145.043563;3351.421934;3590.742071;3967.610467
151;3519.123512;4219.868759;3328.516162;3528.105478;4003.646315
152;3515.753695;4383.316977;3338.748556;3469.644676;3994.638891
153;3489.596924;4320.671892;3321.988660;3411.463506;3954.374580
154;3474.269504;4286.424892;3288.318356;3355.683694;3917.997143
155;3503.849728;4221.093987;3292.990338;3360.124085;3863.918527
156;3477.320279;4209.694466;3262.846383;3310.899296;3829.883977
157;3435.773212;4191.889517;3231.659800;3324.684006;3780.370962
158;3399.032482;4169.771283;3197.215691;3309.450469;3775.276507
159;3386.115301;4189.220293;3165.165533;3282.878375;3772.945436
160;3359.535135;4145.822267;3135.901728;3239.369477;3727.588494
161;3395.336229;4074.748252;3133.100978;3199.793854;3683.760205
162;3396.826493;4034.074130;3167.045232;3163.306462;3690.868092
163;3459.517356;4009.141874;3139.701186;3131.291734;3655.921153
164;3580.211109;4024.949319;3141.749363;3099.198078;3616.763932
165;3628.920089;4034.469979;3203.108142;3120.481333;3630.215156
166;3639.302927;3983.529044;3245.603618;3126.753874;3646.873242
167;3585.126838;3970.390279;3236.628680;3177.321035;3643.149042
168;3529.038544;3956.997039;3213.794090;3291.201869;3621.103400
169;3474.725469;3980.654912;3182.556487;3334.562362;3580.655435
170;3423.439685;4021.655451;3152.157637;3386.990166;3542.894432
171;3376.632936;4073.704651;3150.333214;3596.231548;3502.826506
172;3331.874876;4033.391991;3121.397838;3568.669525;3466.648332
173;3312.084990;4007.657048;3103.795951;3536.913701;3460.379036
174;3286.090621;4004.144456;3108.905093;3542.071904;3503.850289
175;3253.537312;3968.735299;3095.677656;3553.648554;3549.677351
176;3241.053576;3970.142148;3091.229477;3485.641846;3510.603089
177;3212.091015;3975.149647;3069.755558;3415.751966;3471.583816
178;3190.047764;3967.262643;3049.268426;3381.659235;3456.691995
179;3199.629965;3910.102069;3060.208243;3410.030176;3454.671896
180;3206.627257;3916.169070;3063.586209;3383.708061;3437.354267
181;3227.732832;3978.514617;3056.581870;3326.779813;3437.066540
182;3204.851911;3980.363407;3042.998836;3307.575241;3482.772044
183;3251.579586;3971.915558;3029.317137;3275.785944;3491.066362
184;3306.786959;3915.360005;3027.335939;3228.307491;3462.842190
185;3317.521576;3876.061833;3009.234834;3185.888776;3430.100281
186;3378.250692;3829.918661;2987.989963;3145.008346;3435.615309
187;3353.889711;3806.348213;2969.625983;3102.859881;3451.199807
188;3337.081859;3783.391116;2984.647196;3061.375848;3418.382589
189;3334.234481;3849.128766;2995.177156;3021.687720;3490.602311
190;3302.146138;3900.377885;3045.700881;2985.024833;3476.755577
191;3299.737145;3873.055733;3028.003443;2957.647629;3531.240569
192;3281.388867;3850.133959;3070.767861;2965.022957;3490.943304
193;3287.707173;3858.519360;3104.515811;2936.652293;3495.133627
194;3259.476265;3905.114152;3155.730889;2913.615223;3485.358845
195;3278.805958;3882.062989;3189.942050;2893.837392;3553.284474
196;3331.169753;3845.858920;3155.628872;2904.294140;3559.614452
197;3360.772155;3814.506179;3113.095866;2936.038305;3586.897655
198;3404.032838;3801.318870;3074.354337;2991.249020;3572.624489
199;3393.713351;3753.599234;3041.282096;3029.118788;3526.033879
200;3423.011328;3690.860847;3003.681342;2999.364735;3509.866720
201;3414.656253;3627.009303;2970.368205;2991.320797;3486.990473
202;3411.729638;3562.896447;2959.572025;2987.464464;3452.813769
203;3403.974866;3503.516264;2932.184049;2991.331325;3422.313374
204;3437.680193;3455.571945;2930.860314;3000.699111;3404.575928
205;3410.749594;3465.976940;2923.285190;3002.975637;3369.038339
206;3386.024714;3459.723160;2921.458602;3051.070137;3343.520585
207;3382.076654;3424.987959;2969.623545;3037.039075;3342.353005
208;3394.675039;3411.153497;2981.463841;3047.162853;3452.404132
209;3382.255582;3439.163924;3024.784319;3058.710366;3434.514042
210;3374.419770;3406.374178;3092.438037;3041.114201;3457.810098
211;3366.274172;3354.542616;3202.497798;3005.448130;3497.457936
212;3361.376746;3311.281798;3264.424256;2974.219973;3546.040761
213;3410.081132;3271.275261;3284.580691;2966.143195;3529.053685
214;3376.530243;3233.532221;3269.042018;2958.961880;3477.961436
215;3352.146637;3200.384564;3286.688652;2941.036348;3432.355910
216;3311.788566;3216.531679;3255.184336;2916.635435;3386.600499
217;3313.678427;3198.348572;3227.347275;2930.179074;3353.062588
218;3280.542130;3172.392784;3176.409048;2946.137394;3337.885212
219;3264.788642;3156.822650;3132.161613;2929.680862;3300.466860
220;3297.361732;3133.414595;3090.065240;2915.518190;3285.273394
221;3338.679061;3147.643989;3052.137212;2943.306744;3251.740207
222;3370.801505;3181.373181;3051.906922;2939.927818;3233.017395
223;3361.201308;3159.847632;3087.482449;3069.056922;3202.793684
224;3362.943058;3156.460627;3121.342488;3117.426462;3169.168666
225;3401.014806;3162.870388;3171.507350;3195.452986;3135.985533
226;3440.699118;3143.014519;3237.904887;3190.381900;3106.424381
227;3579.930565;3129.220085;3210.215504;3162.463056;3077.619611
228;3597.883168;3111.237370;3160.542378;3122.632555;3054.354946
229;3618.274076;3097.547216;3137.879844;3082.931030;3043.791697
230;3594.581639;3078.435911;3133.862582;3046.183534;3029.316182
231;3582.618153;3085.141156;3092.650495;3011.743276;3018.928839
232;3544.450895;3103.880488;3109.561873;2980.893400;3009.775047
233;3535.929684;3105.586681;3086.982458;2957.513524;3000.663690
234;3586.500540;3151.894298;3068.563397;2930.364730;2985.996879
235;3603.391369;3143.804579;3052.082019;2906.636870;2975.350426
236;3567.279621;3121.810539;3015.800719;2881.765944;2988.368961
237;3512.453532;3130.630138;2979.707524;2857.953121;3012.611695
238;3522.774090;3142.522561;3020.389724;2836.067392;3007.668392
239;3507.405362;3153.838522;3006.854256;2817.774225;3019.907130
240;3573.099895;3153.624054;3006.845833;2810.156177;3024.633362
241;3511.492921;3154.715052;3032.004709;2822.764750;3014.393458
242;3474.507833;3199.923480;3136.887760;2820.074647;3025.731233
243;3447.198459;3186.610832;3220.718144;2827.026043;3011.683693
244;3424.551147;3186.324034;3224.381263;2861.644072;3041.850393
245;3378.481100;3179.527193;3200.686668;2894.636850;3083.208446
246;3331.620965;3188.568166;3154.966769;2910.137079;3108.951423
247;3289.080634;3185.523770;3114.256247;2990.818596;3153.212672
248;3251.254497;3200.990259;3113.191000;3115.195489;3206.002965
249;3238.192416;3177.800741;3128.376402;3193.486177;3225.692567
250;3204.265316;3205.430952;3131.407652;3235.658948;3301.643366
251;3174.089551;3240.104668;3102.558439;3251.972332;3320.638458
252;3146.186315;3303.356693;3101.550309;3252.488653;3306.236558
253;3122.053863;3269.054920;3064.803425;3282.146773;3328.819649
254;3097.881939;3248.153220;3074.817026;3474.884227;3299.862953
255;3079.257512;3220.665481;3142.606029;3495.504689;3265.340207
256;3112.107395;3211.326446;3140.537546;3592.866300;3236.029099
257;3121.047759;3277.868487;3144.410190;3665.590833;3219.189996
258;3103.480000;3253.783139;3095.777311;3689.567146;3189.956907
259;3100.880638;3222.013836;3047.767881;3596.251745;3163.047919
260;3109.777114;3210.210829;3005.631009;3567.490373;3178.063386
261;3153.833868;3177.547444;2966.364059;3648.722733;3194.753275
262;3136.075600;3169.788172;2930.260395;3679.668510;3209.326158
263;3117.677391;3222.830082;2917.965471;3586.452267;3218.125331
264;3130.839458;3229.811144;2884.158379;3552.085849;3231.912984
265;3118.774287;3220.049682;2854.409193;3622.425125;3200.841646
266;3126.347283;3259.178646;2859.621714;3616.529887;3209.396631
267;3125.016789;3300.617947;2884.848862;3535.678631;3209.432707
268;3122.157525;3269.119917;2860.901361;3482.292889;3201.076499
269;3121.536463;3259.927036;2977.738567;3408.798973;3227.064443
270;3114.006789;3363.454885;2992.540645;3361.905714;3294.842049
271;3104.189580;3357.221987;3021.989463;3366.225590;3320.252378
272;3124.100024;3369.634331;3076.703381;3357.320826;3387.872779
273;3109.812354;3351.680394;3055.862711;3394.626127;3403.479532
274;3100.648465;3380.813559;3067.430142;3586.368904;3395.006651
275;3100.120209;3371.263180;3080.083877;3654.890869;3460.741700
276;3117.277020;3380.675044;3116.465343;3577.840647;3561.169731
277;3148.664760;3369.098952;3138.594892;3555.376299;3600.427601
278;3204.762826;3373.451035;3113.524762;3585.082482;3596.118814
279;3277.806677;3358.701575;3127.420515;3628.980073;3612.610275
280;3349.448798;3364.767101;3119.611745;3565.195230;3613.810312
281;3330.095415;3366.623940;3107.111289;3472.187050;3590.086192
282;3374.668017;3399.753857;3080.816430;3449.434622;3568.176236
283;3466.719798;3373.818454;3045.326232;3375.422545;3582.602496
284;3641.603130;3375.377609;3018.846721;3386.362312;3541.874508
285;3806.763275;3365.562667;3003.936511;3455.435151;3589.644062
286;3874.511763;3340.009872;2983.872982;3448.093236;3633.981692
287;3912.940800;3349.355068;3028.328148;3366.531887;3597.948136
288;3835.530841;3336.613128;3208.532556;3293.041203;3591.329212
289;3812.735353;3304.632999;3242.844386;3223.536661;3546.865238
290;3766.473482;3290.914750;3246.099321;3158.965446;3526.035015
291;3696.963038;3282.059448;3187.828707;3172.936314;3475.750852
292;3734.129664;3290.378032;3124.583761;3126.585839;3517.535858
293;3782.856436;3280.910663;3099.011056;3129.706722;3472.204708
294;3760.742252;3292.110124;3043.941287;3099.086535;3415.808390
295;3762.625703;3305.553769;2993.817753;3050.571548;3368.572271
296;3725.541280;3320.764485;2968.621598;3168.659754;3368.840311
297;3711.185942;3324.865537;2936.867364;3284.101730;3471.318775
298;3702.400729;3342.212297;2926.334420;3308.349572;3501.768470
299;3763.846430;3357.545098;2945.467011;3365.154003;3446.448337
300;3783.911036;3406.336265;2957.949457;3396.425675;3413.402619
301;3932.917104;3509.486475;2933.044819;3413.231970;3415.294509
302;3919.256510;3544.040490;2908.198339;3401.893852;3440.521139
303;4049.431743;3505.735301;2898.907534;3387.725455;3438.291638
304;4114.201368;3502.444541;2875.420736;3400.314138;3426.200908
305;4065.189877;3519.056236;2853.541759;3378.572717;3438.725091
306;4071.960073;3522.268832;2848.367729;3384.775143;3440.422353
307;4055.534869;3531.582848;2872.764026;3398.396356;3386.638582
308;3996.745635;3532.462282;2855.029890;3429.430301;3340.925774
309;4017.404484;3577.664645;2918.805925;3491.186498;3295.826262
310;4021.948773;3617.378192;2898.598732;3591.563924;3283.406480
311;4040.504760;3632.722148;2895.262745;3614.806664;3237.350644
312;3949.295147;3661.881651;2930.952986;3667.481735;3244.115271
313;3935.359272;3649.703598;2958.928526;3667.741192;3224.406510
314;3908.656317;3635.302314;3001.692464;3684.073801;3208.173414
315;3845.732558;3623.155167;3027.745788;3578.069864;3198.251457
316;3880.365771;3698.304795;3050.725173;3487.694825;3186.738355
317;3836.625839;3700.984386;3219.597249;3406.572945;3164.654631
318;3826.715434;3642.290183;3204.695768;3329.637731;3157.460652
319;3756.429816;3593.628485;3158.224798;3283.006880;3147.016100
320;3689.146099;3532.290263;3110.239491;3258.226293;3137.865382
321;3616.973420;3517.004237;3120.365036;3199.534474;3157.889724
322;3622.284843;3537.323832;3211.478065;3167.560162;3215.483846
323;3560.107722;3552.930532;3267.771530;3153.443234;3219.296784
324;3497.526579;3517.623271;3414.769681;3093.432634;3370.535962
325;3437.844976;3461.620902;3441.735747;3033.054291;3461.286283
326;3381.875826;3436.957677;3443.969846;2990.023916;3598.273085
327;3330.074090;3395.520810;3375.681961;2993.395812;3734.465740
328;3284.923620;3362.875737;3479.251785;2980.402502;3746.924610
329;3243.707524;3323.988382;3490.946461;2940.816912;3827.025552
330;3203.009525;3350.121107;3466.897193;2903.743174;3883.949586
331;3163.818749;3327.790733;3513.514504;2899.471893;3903.521513
332;3129.982003;3388.346114;3469.379344;2974.529936;3855.269502
333;3101.833589;3398.426431;3507.939343;3007.926229;3842.243310
334;3077.920324;3418.404094;3449.199107;3021.136146;3799.108504
335;3061.025593;3401.039469;3392.891951;3097.885198;3783.868932
336;3098.096284;3397.567181;3351.821487;3240.769745;3714.581724
337;3099.289790;3416.021967;3319.679210;3311.606480;3650.788531
338;3145.494536;3473.570733;3294.351066;3255.900243;3615.869882
339;3204.472341;3598.513060;3283.938714;3179.085266;3619.865160
340;3202.766973;3676.673117;3258.849620;3130.432922;3589.631780
341;3179.344060;3626.146901;3322.251985;3069.787632;3607.880771
342;3160.068752;3627.251143;3314.202708;3048.568597;3547.360386
343;3151.320839;3629.070913;3303.169957;3023.248873;3484.634938
344;3145.473760;3582.950505;3310.946967;3019.929576;3427.380025
345;3144.583223;3518.096074;3259.988790;2969.696946;3374.059347
346;3144.375286;3487.379189;3249.624196;2932.609435;3330.828329
347;3127.949806;3521.254123;3366.745130;2947.603604;3294.325304
348;3099.804884;3487.333475;3471.218152;2927.904736;3267.376942
349;3076.216627;3440.791854;3426.427775;2885.758987;3264.911653
350;3053.628761;3435.697974;3402.370098;2900.086472;3238.785789
351;3032.360463;3470.504909;3390.607652;2994.499857;3215.426672
352;3016.114644;3521.200421;3431.461509;3024.839573;3246.246532
353;2998.829917;3603.703470;3493.213087;2978.567912;3210.540003
354;2980.455810;3548.226691;3596.051723;3102.330488;3178.901894
355;2963.840942;3508.644494;3616.417245;3076.058655;3171.807362
356;2949.839842;3471.955090;3651.117290;3043.878856;3254.584570
357;2932.637059;3508.193663;3788.421609;3048.526539;3315.179938
358;2940.075990;3479.234941;3777.027825;3085.578056;3341.303248
359;2933.544864;3510.958479;3709.022693;3098.689969;3341.583216
360;2927.407354;3499.687497;3632.161047;3066.491419;3381.124591
361;2915.483105;3440.168943;3551.342444;3016.748371;3421.653525
362;2906.428672;3408.180649;3520.296330;2973.314068;3469.488097
363;2922.284047;3372.451312;3437.594238;2950.108939;3432.425554
364;2918.043092;3353.194870;3364.010183;2956.199320;3410.029098
365;2908.993355;3310.087625;3291.496042;2943.679812;3390.832946
366;2904.947548;3270.749298;3222.222729;2941.718421;3390.600304
367;2900.317374;3240.155826;3158.410195;2968.237109;3361.473090
368;2932.117087;3209.559490;3098.601893;2951.835297;3319.430661
369;2920.887217;3237.958206;3074.965842;2934.602003;3281.627963
370;2907.463450;3246.449357;3047.128471;2976.767921;3265.335963
371;2895.207678;3239.234070;3005.293133;3000.077588;3255.209168
372;2900.597462;3248.161744;2977.616746;2949.294863;3303.949471
373;2892.114646;3295.331775;2935.975449;2903.959233;3267.783092
374;2888.475730;3270.051447;2906.975809;2863.277370;3237.829035
375;2901.778044;3261.472462;2876.571757;2831.802169;3207.381963
376;2897.635270;3260.932516;2845.897175;2825.477472;3243.183014
377;2914.584903;3241.780922;2815.458309;2791.352788;3216.356399
378;2911.960512;3226.271377;2790.168046;2756.758860;3233.264973
379;2906.618116;3218.063857;2768.819015;2724.173083;3237.943302
380;2899.789562;3214.189835;2793.762226;2695.065696;3246.889775
381;2893.519304;3226.529426;2819.757746;2671.051289;3344.122847
382;2930.380545;3329.682467;2875.390583;2715.644988;3352.641054
383;2964.318131;3333.389150;2943.595233;2766.505024;3361.312735
384;2984.593967;3327.892938;2939.003255;2741.436186;3400.455152
385;3022.596502;3388.565943;2915.297257;2776.855290;3480.199723
386;3053.872601;3357.056946;2916.808197;2768.626527;3626.860511
387;3055.876561;3326.065289;2942.720774;2797.494115;3721.172765
388;3063.345697;3370.974998;3010.175631;2919.492234;3690.178989
389;3068.395550;3362.504804;2976.155203;2981.665461;3630.900911
390;3059.268203;3363.733660;2971.602051;2968.093852;3560.063010
391;3038.795759;3327.328371;3016.403187;2962.334946;3518.696594
392;3031.759015;3283.935257;3091.228363;3049.853055;3523.574472
393;3040.028492;3241.602094;3080.566563;3111.523256;3463.363090
394;3041.656607;3213.094797;3291.521924;3216.085768;3435.926238
395;3058.437308;3179.114001;3304.952102;3292.420012;3420.587950
396;3131.942307;3151.788373;3266.676375;3268.771340;3435.672448
397;3138.477783;3132.174361;3208.209111;3203.704258;3506.556046
398;3223.416638;3108.878613;3153.503091;3134.616661;3525.095935
399;3204.509143;3088.603267;3145.740323;3180.357223;3464.077950
400;3170.471561;3066.954806;3117.731990;3183.846770;3402.696922
401;3159.151956;3044.057906;3074.254866;3202.590052;3345.812104
402;3147.352753;3022.312184;3066.600894;3149.831425;3291.726656
403;3134.101914;3013.169915;3050.118789;3115.228562;3244.297761
404;3211.209483;3001.095719;3009.846564;3098.950817;3207.966001
405;3218.842044;3006.846367;2980.713408;3089.246454;3179.199773
406;3242.473323;3018.740008;2947.107866;3087.119722;3142.247094
407;3292.281452;3003.764389;2941.265198;3061.834187;3114.631311
408;3333.289932;2984.635514;2932.957176;3029.345190;3114.710181
409;3423.935347;2965.124237;2960.792878;3063.711746;3080.562370
410;3380.587570;2949.375741;2960.850678;3197.287189;3046.555678
411;3463.243719;2934.586723;2926.597520;3211.518797;3047.986794
412;3455.367281;2923.150480;2890.975222;3146.227944;3022.180693
413;3437.632405;2937.162233;2857.082533;3142.919296;3010.809415
414;3432.134565;2927.970729;2827.337980;3176.984572;2986.255273
415;3449.128370;2929.423523;2802.278698;3291.123962;2970.969429
416;3390.995244;2925.432942;2780.713285;3385.074733;2978.805133
417;3373.214543;2930.392680;2761.432780;3326.739620;3020.687952
418;3371.842075;2924.086803;2743.143707;3273.256020;3061.350915
419;3300.706658;2925.615632;2730.974832;3269.524589;3080.203111
420;3284.994711;2929.798036;2722.867910;3219.435912;3076.475966
421;3230.832657;2945.946576;2753.014036;3207.550212;3076.616000
422;3180.093970;2976.031886;2767.911829;3133.176056;3160.852070
423;3140.727998;3014.319268;2751.382083;3129.491966;3170.471462
424;3104.608227;2995.481328;2733.181671;3087.564018;3185.474404
