Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF";"0CDCFF"
93;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
94;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
95;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
96;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
97;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
98;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
99;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
100;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
101;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
102;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
103;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
104;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
105;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
106;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
107;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
108;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
109;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
110;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
111;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
112;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
113;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
114;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
115;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
116;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
117;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
118;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
119;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
120;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
121;6.103164;77.956696;-1.481517;0.094532;10.000000;0.100000
122;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
123;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
124;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
125;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
126;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
127;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
128;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
129;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
130;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
131;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
132;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
133;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
134;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
135;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
136;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
137;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
138;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
139;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
140;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
141;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
142;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
143;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
144;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
145;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
146;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
147;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
148;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
149;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
150;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
151;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
152;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
153;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
154;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
155;6.137287;77.783959;-1.462311;0.127372;10.000000;0.100000
156;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
157;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
158;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
159;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
160;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
161;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
162;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
163;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
164;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
165;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
166;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
167;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
168;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
169;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
170;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
171;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
172;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
173;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
174;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
175;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
176;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
177;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
178;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
179;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
180;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
181;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
182;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
183;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
184;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
185;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
186;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
187;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
188;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
189;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
190;6.079150;77.783959;-1.462311;0.087081;10.000000;0.100000
191;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
192;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
193;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
194;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
195;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
196;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
197;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
198;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
199;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
200;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
201;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
202;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
203;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
204;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
205;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
206;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
207;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
208;6.021470;86.142487;-1.472018;0.051363;10.000000;0.100000
209;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
210;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
211;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
212;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
213;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
214;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
215;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
216;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
217;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
218;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
219;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
220;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
221;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
222;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
223;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
224;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
225;6.021345;85.961074;-1.507799;0.056694;10.000000;0.100000
226;6.014945;85.764554;-1.523955;0.059121;10.000000;0.100000
227;6.014945;85.764554;-1.523955;0.059121;10.000000;0.100000
228;6.014945;85.764554;-1.523955;0.059121;10.000000;0.100000
229;6.014945;85.764554;-1.523955;0.059121;10.000000;0.100000
230;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
231;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
232;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
233;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
234;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
235;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
236;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
237;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
238;6.172842;84.912677;-1.692149;0.175673;10.000000;0.100000
239;6.143554;84.513769;-1.241329;0.239624;10.000000;0.100000
240;6.143554;84.513769;-1.241329;0.239624;10.000000;0.100000
241;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
242;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
243;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
244;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
245;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
246;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
247;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
248;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
249;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
250;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
251;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
252;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
253;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
254;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
255;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
256;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
257;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
258;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
259;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
260;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
261;6.139010;84.470585;-1.236528;0.237761;10.000000;0.100000
