Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"3073FF";"3073FF";"3073FF";"3073FF";"3073FF";"3073FF"
83;-0.846758;-0.163425;-1.143600;1.669884;100000000.000000;0.100000
84;-0.892776;-0.163425;-1.143600;1.669884;100000000.000000;0.100000
85;-0.791486;-0.163425;-1.143600;1.839731;100000000.000000;0.100000
86;-0.846758;-0.164625;-1.143600;1.839731;100000000.000000;0.100000
87;-0.846758;-0.163425;-1.143600;1.815027;100000000.000000;0.100000
88;-0.847400;-0.157853;-1.143600;1.815027;100000000.000000;0.100000
89;-0.846758;-0.157853;-1.143600;1.815027;100000000.000000;0.100000
90;-0.846758;-0.157858;-1.237943;1.815027;100000000.000000;0.100000
91;-0.873234;-0.157853;-1.271107;1.815027;100000000.000000;0.100000
92;-0.873234;-0.164996;-1.271107;1.815027;100000000.000000;0.100000
93;-0.892572;-0.162553;-1.234343;1.815027;100000000.000000;0.100000
94;-0.892572;-0.158132;-1.203670;1.865453;100000000.000000;0.100000
95;-0.892572;-0.158132;-1.203670;1.815027;100000000.000000;0.100000
96;-0.884325;-0.164996;-1.203670;1.815027;100000000.000000;0.100000
97;-0.890557;-0.162553;-1.143600;1.939683;100000000.000000;0.100000
98;-0.892572;-0.161439;-1.143600;1.939683;100000000.000000;0.100000
99;-0.933327;-0.162165;-1.203670;1.893890;100000000.000000;0.100000
100;-0.890557;-0.163425;-1.060184;2.117717;100000000.000000;0.100000
101;-0.890557;-0.157858;-1.203670;1.896965;100000000.000000;0.100000
102;-0.890557;-0.156557;-1.143600;1.939683;100000000.000000;0.100000
103;-0.890557;-0.156557;-1.143600;2.066700;100000000.000000;0.100000
104;-0.904388;-0.155135;-1.143600;1.893890;100000000.000000;0.100000
105;-0.904388;-0.151258;-1.143600;2.066700;100000000.000000;0.100000
106;-0.904388;-0.151258;-1.143600;2.117717;100000000.000000;0.100000
107;-0.904388;-0.151258;-1.143600;2.181144;100000000.000000;0.100000
108;-0.904388;-0.151258;-1.143600;2.181144;100000000.000000;0.100000
109;-0.904388;-0.151258;-1.143600;2.117717;100000000.000000;0.100000
110;-0.904388;-0.151258;-1.143600;2.159856;100000000.000000;0.100000
111;-0.839250;-0.151258;-1.202768;2.117717;100000000.000000;0.100000
112;-0.920912;-0.148122;-1.143600;1.893890;100000000.000000;0.100000
113;-0.920912;-0.148122;-1.143600;2.058802;100000000.000000;0.100000
114;-0.920912;-0.144551;-1.143600;1.893890;100000000.000000;0.100000
115;-0.920912;-0.144551;-1.143600;1.893890;100000000.000000;0.100000
116;-0.920912;-0.141213;-1.143600;1.893890;100000000.000000;0.100000
117;-0.889995;-0.141213;-1.143600;1.893890;100000000.000000;0.100000
118;-0.920912;-0.140185;-1.143600;1.893890;100000000.000000;0.100000
119;-0.920912;-0.140185;-1.143600;1.893890;100000000.000000;0.100000
120;-0.920912;-0.140185;-1.196600;1.893890;100000000.000000;0.100000
121;-0.920912;-0.137166;-1.143600;1.893890;100000000.000000;0.100000
122;-0.920912;-0.137166;-1.196600;1.893890;100000000.000000;0.100000
123;-0.861396;-0.137166;-1.196600;1.893890;100000000.000000;0.100000
124;-0.861396;-0.137166;-1.196600;2.060329;100000000.000000;0.100000
125;-0.898357;-0.137166;-1.196600;2.060329;100000000.000000;0.100000
126;-0.861396;-0.137166;-1.196600;2.060329;100000000.000000;0.100000
127;-0.861396;-0.137166;-1.196600;2.060329;100000000.000000;0.100000
128;-0.898357;-0.137166;-1.285529;2.060329;100000000.000000;0.100000
129;-0.898357;-0.137134;-1.196600;1.893890;100000000.000000;0.100000
130;-0.847586;-0.134696;-1.162238;1.798057;100000000.000000;0.100000
131;-0.953223;-0.134696;-1.162238;1.798057;100000000.000000;0.100000
132;-0.898357;-0.134696;-1.162238;1.798057;100000000.000000;0.100000
133;-0.898357;-0.134696;-1.121522;1.893890;100000000.000000;0.100000
134;-0.898357;-0.134696;-1.196600;1.893890;100000000.000000;0.100000
135;-0.898357;-0.134696;-1.240723;1.893890;100000000.000000;0.100000
136;-0.898357;-0.134696;-1.240723;2.059257;100000000.000000;0.100000
137;-0.898357;-0.134696;-1.196600;1.989375;100000000.000000;0.100000
138;-0.898357;-0.134696;-1.196600;1.978491;100000000.000000;0.100000
139;-0.898357;-0.132705;-1.291031;1.893890;100000000.000000;0.100000
140;-0.898357;-0.131852;-1.121522;1.893890;100000000.000000;0.100000
141;-0.898357;-0.131197;-1.282224;1.893890;100000000.000000;0.100000
142;-0.898357;-0.129599;-1.121522;1.841624;100000000.000000;0.100000
143;-0.898357;-0.128884;-1.291031;1.849278;100000000.000000;0.100000
144;-0.898357;-0.128884;-1.291031;1.893890;100000000.000000;0.100000
145;-0.898357;-0.126551;-1.291031;1.849278;100000000.000000;0.100000
146;-0.898357;-0.126551;-1.291031;1.849278;100000000.000000;0.100000
147;-0.898357;-0.126551;-1.291031;1.849278;100000000.000000;0.100000
148;-0.898357;-0.126551;-1.291031;1.849278;100000000.000000;0.100000
149;-0.898357;-0.125599;-1.291031;1.798893;100000000.000000;0.100000
150;-0.898357;-0.126551;-1.291031;1.960158;100000000.000000;0.100000
151;-0.898357;-0.126551;-1.291031;1.960158;100000000.000000;0.100000
152;-0.898357;-0.124280;-1.291031;1.849278;100000000.000000;0.100000
153;-0.898357;-0.124280;-1.291031;1.960158;100000000.000000;0.100000
154;-0.898357;-0.124280;-1.291031;1.960158;100000000.000000;0.100000
155;-0.898357;-0.123209;-1.048543;1.798893;100000000.000000;0.100000
156;-0.898357;-0.122356;-1.281755;1.849278;100000000.000000;0.100000
157;-0.898357;-0.120853;-1.281755;1.849278;100000000.000000;0.100000
158;-0.883087;-0.120361;-1.281755;1.849278;100000000.000000;0.100000
159;-0.898357;-0.120853;-1.281755;1.960158;100000000.000000;0.100000
160;-0.898357;-0.120853;-1.281755;1.960158;100000000.000000;0.100000
161;-0.898357;-0.119820;-1.281755;1.798893;100000000.000000;0.100000
162;-0.898357;-0.119820;-1.281755;1.960158;100000000.000000;0.100000
163;-0.898357;-0.119820;-1.281755;1.967904;100000000.000000;0.100000
164;-0.898357;-0.119373;-1.266172;1.960158;100000000.000000;0.100000
165;-0.898357;-0.119373;-1.266172;1.904033;100000000.000000;0.100000
166;-0.898357;-0.119373;-1.266172;1.904033;100000000.000000;0.100000
167;-0.884541;-0.119373;-1.266172;1.904033;100000000.000000;0.100000
168;-0.898357;-0.119373;-1.266172;2.047840;100000000.000000;0.100000
169;-0.898357;-0.119373;-1.266172;2.056042;100000000.000000;0.100000
170;-0.898357;-0.119373;-1.266172;2.119326;100000000.000000;0.100000
171;-0.898357;-0.118396;-1.266172;1.904033;100000000.000000;0.100000
172;-0.898357;-0.118396;-1.266172;2.036778;100000000.000000;0.100000
173;-0.898357;-0.116995;-1.266172;2.023856;100000000.000000;0.100000
174;-0.898357;-0.116947;-1.232350;2.023856;100000000.000000;0.100000
