Epoche;Durchschnitt
Fehler;-
0;1
0;"12CAFF"
0;127.035116
1;123.926973
2;120.314664
3;114.961057
4;108.749914
5;102.588810
6;95.825057
7;88.789480
8;81.941868
9;75.637218
10;69.148803
11;63.214563
12;57.781894
13;52.848954
14;48.369898
15;44.252019
16;40.517334
17;37.136542
18;34.064763
19;31.287114
20;28.778837
21;26.513978
22;24.468723
23;22.621198
24;20.950312
25;19.438423
26;18.070017
27;16.833254
28;15.714892
29;14.705108
30;13.794217
31;12.973594
32;12.231808
33;11.563788
34;10.960035
35;10.413740
36;9.917931
37;9.468272
38;9.061404
39;8.692518
40;8.360459
41;8.060311
42;7.789053
43;7.542580
44;7.320645
45;7.120903
46;6.938504
47;6.772545
48;6.621339
49;6.482918
50;6.355229
51;6.237260
52;6.128041
53;6.028848
54;5.938516
55;5.856254
56;5.781132
57;5.713486
58;5.651880
59;5.596301
60;5.545623
61;5.499715
62;5.458116
63;5.420427
64;5.386253
65;5.354766
66;5.326224
67;5.300268
68;5.276101
69;5.253635
70;5.233082
71;5.213001
72;5.194127
73;5.176512
74;5.160354
75;5.144970
76;5.129412
77;5.112221
78;5.094125
79;5.075381
80;5.056755
81;5.038536
82;5.019553
83;5.000960
84;4.982302
85;4.962461
86;4.942797
87;4.923915
88;4.905207
89;4.887940
90;4.872055
91;4.856413
92;4.841661
93;4.827206
94;4.812532
95;4.798836
96;4.784519
97;4.768887
98;4.752761
99;4.736295
100;4.719638
101;4.703770
102;4.688781
103;4.673602
104;4.657131
105;4.641083
106;4.626042
107;4.611255
108;4.597110
109;4.583549
110;4.571081
111;4.559367
112;4.548648
113;4.538481
114;4.529224
115;4.520727
116;4.512979
117;4.505972
118;4.499529
119;4.493658
120;4.488294
121;4.483364
122;4.478844
123;4.474514
124;4.470398
125;4.466552
126;4.462907
127;4.459250
128;4.455959
129;4.452624
130;4.449376
131;4.446119
132;4.442969
133;4.439951
134;4.436872
135;4.433914
136;4.431154
137;4.428519
138;4.426045
139;4.423700
140;4.421566
141;4.419538
142;4.417573
143;4.415740
144;4.414033
145;4.412308
146;4.410646
147;4.409004
148;4.407527
149;4.406122
150;4.404806
151;4.403617
152;4.402496
153;4.401456
154;4.400512
155;4.399583
156;4.398742
157;4.397984
158;4.397290
159;4.396643
160;4.396029
161;4.395462
162;4.394949
163;4.394461
164;4.393985
165;4.393549
166;4.393117
167;4.392701
168;4.392293
169;4.391852
170;4.391449
171;4.391077
172;4.390743
173;4.390440
174;4.390107
175;4.389780
176;4.389485
177;4.389212
178;4.388967
179;4.388745
180;4.388543
181;4.388343
182;4.388163
183;4.388001
184;4.387855
185;4.387714
186;4.387588
187;4.387474
188;4.387367
189;4.387263
190;4.387170
191;4.387085
192;4.387007
193;4.386926
194;4.386844
195;4.386770
196;4.386702
197;4.386641
