Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"12CAFF";"12CAFF";"12CAFF";"12CAFF";"12CAFF";"12CAFF"
0;6.580096;9.050264;2.691427;0.773858;10.000000;0.100000
1;6.580096;9.050264;2.691427;0.773858;10.000000;0.100000
2;6.580096;9.050264;2.691427;0.773858;10.000000;0.100000
3;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
4;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
5;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
6;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
7;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
8;9.880978;8.980949;-2.263710;2.346820;10.000000;0.100000
9;11.602927;14.323073;-0.150914;2.242602;10.000000;0.100000
10;14.835810;20.284561;-2.350974;2.154558;10.000000;0.100000
11;14.835810;20.284561;-2.350974;2.154558;10.000000;0.100000
12;14.835810;20.284561;-2.350974;2.154558;10.000000;0.100000
13;14.835810;20.284561;-2.350974;2.154558;10.000000;0.100000
14;17.473517;16.834698;-3.602870;2.043844;10.000000;0.100000
15;17.473517;16.834698;-3.602870;2.043844;10.000000;0.100000
16;17.473517;16.834698;-3.602870;2.043844;10.000000;0.100000
17;14.480239;17.997025;-3.605609;2.235705;10.000000;0.100000
18;19.519516;23.196260;-7.906760;1.293391;10.000000;0.100000
19;13.748335;23.374125;-4.197755;1.739246;10.000000;0.100000
20;14.584647;25.004030;-3.988937;2.040304;10.000000;0.100000
21;14.584647;25.004030;-3.988937;2.040304;10.000000;0.100000
22;19.082942;25.316412;-6.119838;1.540326;10.000000;0.100000
23;19.082942;25.316412;-6.119838;1.540326;10.000000;0.100000
24;12.882488;27.715669;-2.746547;2.259763;10.000000;0.100000
25;12.882488;27.715669;-2.746547;2.259763;10.000000;0.100000
26;12.728170;26.936209;-2.612157;2.060211;10.000000;0.100000
27;12.728170;26.936209;-2.612157;2.060211;10.000000;0.100000
28;12.728170;26.936209;-2.612157;2.060211;10.000000;0.100000
29;17.299098;27.237277;-4.325588;1.800711;10.000000;0.100000
30;18.738333;27.166546;-6.922810;1.470257;10.000000;0.100000
31;18.738333;27.166546;-6.922810;1.470257;10.000000;0.100000
32;18.738333;27.166546;-6.922810;1.470257;10.000000;0.100000
33;18.738333;27.166546;-6.922810;1.470257;10.000000;0.100000
34;18.738333;30.544006;-6.922810;1.470257;10.000000;0.100000
35;13.719488;33.614616;-2.683389;2.183536;10.000000;0.100000
36;19.823580;32.432793;-6.444366;1.577503;10.000000;0.100000
37;20.825925;34.189627;-7.304265;1.493033;10.000000;0.100000
38;16.183937;33.922481;-7.304265;1.324036;10.000000;0.100000
39;16.183937;33.922481;-7.304265;1.324036;10.000000;0.100000
40;16.183937;33.922481;-7.304265;1.324036;10.000000;0.100000
41;16.628293;36.873661;-6.043960;1.519510;10.000000;0.100000
42;16.628293;36.873661;-6.043960;1.519510;10.000000;0.100000
43;16.628293;36.873661;-6.043960;1.519510;10.000000;0.100000
44;16.628293;36.873661;-6.043960;1.519510;10.000000;0.100000
