Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"00C6FF";"00C6FF";"00C6FF";"00C6FF";"00C6FF";"00C6FF"
0;3.408002;7.885067;6.845607;0.499191;10.000000;0.100000
1;6.759545;7.885067;6.845607;0.499191;10.000000;0.100000
2;6.759545;7.885067;1.637928;-0.160009;10.000000;0.100000
3;6.759545;7.885067;6.845607;0.499191;10.000000;0.100000
4;6.759545;7.885067;6.845607;0.499191;10.000000;0.100000
5;6.759545;7.885067;4.784997;0.499191;10.000000;0.100000
6;6.759545;7.885067;0.559665;1.674764;10.000000;0.100000
7;8.362286;6.884671;6.845607;0.499191;10.000000;0.100000
8;6.759545;7.885067;1.530787;0.499191;10.000000;0.100000
9;9.678363;7.885067;0.559665;1.674764;10.000000;0.100000
10;9.092841;7.885067;0.559665;1.674764;10.000000;0.100000
11;9.678363;7.885067;1.005804;0.499191;10.000000;0.100000
12;9.678363;7.885067;1.736333;0.682236;10.000000;0.100000
13;6.759545;12.692455;0.782199;1.437797;10.000000;0.100000
14;9.751414;7.885067;2.440347;0.499191;10.000000;0.100000
15;9.678363;9.149283;2.440347;0.499191;10.000000;0.100000
16;9.678363;13.743468;2.440347;0.499191;10.000000;0.100000
17;11.685946;12.670942;0.224595;0.499191;10.000000;0.100000
18;11.685946;12.670942;0.224595;0.499191;10.000000;0.100000
19;11.685946;12.670942;0.224595;0.499191;10.000000;0.100000
20;9.678363;18.004377;0.224595;0.499191;10.000000;0.100000
21;9.678363;31.186744;0.224595;0.499191;10.000000;0.100000
22;9.678363;31.186744;0.224595;0.499191;10.000000;0.100000
23;9.678363;52.316309;0.224595;0.499191;10.000000;0.100000
24;9.678363;52.316309;0.224595;0.291637;10.000000;0.100000
25;9.678363;69.235023;0.224595;0.499191;10.000000;0.100000
26;9.678363;72.055552;0.047590;0.499191;10.000000;0.100000
27;9.678363;120.665308;0.224595;0.499191;10.000000;0.100000
28;9.678363;120.665308;0.224595;0.499191;10.000000;0.100000
29;9.678363;120.665308;0.224595;0.499191;10.000000;0.100000
30;8.434079;120.665308;0.224595;0.499191;10.000000;0.100000
31;6.221200;69.235023;0.047590;0.499191;10.000000;0.100000
32;6.221200;69.235023;0.048200;0.499191;10.000000;0.100000
33;8.564818;120.665308;0.224595;0.499191;10.000000;0.100000
34;9.678363;120.665308;0.023591;0.499191;10.000000;0.100000
35;9.678363;120.665308;0.011985;0.499191;10.000000;0.100000
36;7.555950;84.517189;0.048200;0.499191;10.000000;0.100000
37;7.555950;84.517189;0.224595;0.937868;10.000000;0.100000
38;9.678363;120.665308;0.033587;0.958180;10.000000;0.100000
39;9.678363;120.665308;0.021419;0.499191;10.000000;0.100000
40;9.678363;120.665308;0.019652;0.499191;10.000000;0.100000
41;9.678363;120.665308;0.224595;0.035299;10.000000;0.100000
42;7.333629;120.665308;0.033587;0.499191;10.000000;0.100000
43;9.678363;120.665308;0.066439;0.030243;10.000000;0.100000
44;9.678363;120.665308;0.066439;0.030243;10.000000;0.100000
45;9.678363;120.665308;0.066439;0.030243;10.000000;0.100000
46;9.678363;120.665308;0.066439;0.030243;10.000000;0.100000
