Zeit [s];y
;-
0;1
0;"00C6FF"
2.790000;0.556146
2.800000;0.514827
2.810000;0.476578
2.820000;0.441171
2.830000;0.408394
2.840000;0.378052
2.850000;0.349965
2.860000;0.323964
2.870000;0.299895
2.880000;0.277615
2.890000;0.256989
2.900000;0.237896
2.910000;0.220222
2.920000;0.203860
2.930000;0.188715
2.940000;0.174694
2.950000;0.161715
2.960000;0.149701
2.970000;0.138579
2.980000;0.128283
2.990000;0.118752
3.000000;0.109929
3.010000;0.101762
3.020000;0.094202
3.030000;0.087203
3.040000;0.080724
3.050000;0.074727
3.060000;0.069175
3.070000;0.064036
3.080000;0.059278
3.090000;0.054874
3.100000;0.050797
3.110000;0.047023
3.120000;0.043530
3.130000;0.040296
3.140000;0.037302
3.150000;0.034531
3.160000;0.031965
3.170000;0.029590
3.180000;0.027392
3.190000;0.025357
3.200000;0.023473
3.210000;0.021729
3.220000;0.020115
3.230000;0.018620
3.240000;0.017237
3.250000;0.015956
3.260000;0.014771
3.270000;0.013673
3.280000;0.012658
3.290000;0.011717
3.300000;0.010847
3.310000;0.010041
3.320000;0.009295
3.330000;0.008604
3.340000;0.007965
3.350000;0.007373
3.360000;0.006825
3.370000;0.006318
3.380000;0.005849
3.390000;0.005414
3.400000;0.005012
3.410000;0.004640
3.420000;0.004295
3.430000;0.003976
3.440000;0.003681
3.450000;0.003407
3.460000;0.003154
3.470000;0.002920
3.480000;0.002703
3.490000;0.002502
3.500000;0.002316
3.510000;0.327144
3.520000;0.965378
3.530000;1.569216
3.540000;2.128695
3.550000;2.646627
3.560000;3.126079
3.570000;3.569911
3.580000;3.980769
3.590000;4.361102
3.600000;4.713178
3.610000;5.039096
3.620000;5.340801
3.630000;5.620090
3.640000;5.878630
3.650000;6.117961
3.660000;6.339512
3.670000;6.544602
3.680000;6.734455
3.690000;6.910203
3.700000;7.072894
3.710000;7.223497
3.720000;7.362912
3.730000;7.491969
3.740000;7.611437
3.750000;7.722030
3.760000;7.824406
3.770000;7.908172
3.780000;7.961514
3.790000;7.988387
3.800000;7.998959
3.810000;8.001694
3.820000;8.001649
3.830000;8.001157
3.840000;8.000973
3.850000;8.001146
3.860000;8.001519
3.870000;8.001938
3.880000;8.002312
3.890000;8.002607
3.900000;8.002822
3.910000;8.002969
3.920000;8.003065
3.930000;8.003122
3.940000;8.003151
3.950000;8.003159
3.960000;8.003151
3.970000;8.003131
3.980000;8.003102
3.990000;8.003065
4.000000;8.003024
4.010000;8.002978
4.020000;8.002929
4.030000;8.002878
4.040000;8.002825
4.050000;8.002772
4.060000;8.002718
4.070000;8.002665
4.080000;8.002611
4.090000;8.002558
4.100000;8.002505
4.110000;8.002453
4.120000;8.002402
4.130000;8.002351
4.140000;8.002302
4.150000;8.002253
4.160000;8.002205
4.170000;8.002158
4.180000;8.002112
4.190000;8.002067
4.200000;8.002023
4.210000;8.001979
4.220000;8.001937
4.230000;8.001895
4.240000;8.001855
4.250000;8.001815
4.260000;8.001776
4.270000;8.001738
4.280000;8.001700
4.290000;8.001664
4.300000;8.001628
4.310000;8.001593
4.320000;8.001559
4.330000;8.001525
4.340000;8.001492
4.350000;8.001460
4.360000;8.001429
4.370000;8.001398
4.380000;8.001368
4.390000;8.001338
4.400000;8.001310
4.410000;8.001281
4.420000;8.001254
4.430000;8.001227
4.440000;8.001201
4.450000;8.001175
4.460000;8.001149
4.470000;8.001125
4.480000;8.001100
4.490000;8.001077
4.500000;8.001054
4.510000;7.715290
4.520000;7.153992
4.530000;6.622946
4.540000;6.130913
4.550000;5.675418
4.560000;5.253763
4.570000;4.863435
4.580000;4.502107
4.590000;4.167623
4.600000;3.857990
4.610000;3.571361
4.620000;3.306027
4.630000;3.060406
4.640000;2.833033
4.650000;2.622553
4.660000;2.427711
4.670000;2.247344
4.680000;2.080378
4.690000;1.925817
4.700000;1.782738
4.710000;1.650290
4.720000;1.527682
4.730000;1.414183
4.740000;1.309116
4.750000;1.211855
4.760000;1.121821
4.770000;1.038475
4.780000;0.961322
4.790000;0.889900
4.800000;0.823785
4.810000;0.762582
4.820000;0.705926
4.830000;0.653480
4.840000;0.604929
4.850000;0.559986
4.860000;0.518382
4.870000;0.479869
4.880000;0.444217
4.890000;0.411214
4.900000;0.380663
4.910000;0.352382
4.920000;0.326201
4.930000;0.301966
4.940000;0.279532
4.950000;0.258764
4.960000;0.239539
4.970000;0.221743
4.980000;0.205268
4.990000;0.190018
5.000000;0.175900
5.010000;0.162832
5.020000;0.150734
5.030000;0.139536
5.040000;0.129169
5.050000;0.119572
5.060000;0.110689
5.070000;0.102465
5.080000;0.094852
5.090000;0.087805
5.100000;0.081282
5.110000;0.075243
5.120000;0.069653
5.130000;0.064478
5.140000;0.059688
5.150000;0.055253
5.160000;0.051148
5.170000;0.047348
5.180000;0.043830
5.190000;0.040574
5.200000;0.037560
5.210000;0.034769
5.220000;0.032186
5.230000;0.029795
5.240000;0.027581
5.250000;0.025532
5.260000;0.023635
5.270000;0.021879
5.280000;0.020254
5.290000;0.018749
5.300000;0.017356
5.310000;0.016066
5.320000;0.014873
5.330000;0.013768
5.340000;0.012745
5.350000;0.011798
5.360000;0.010922
5.370000;0.010110
5.380000;0.009359
5.390000;0.008664
5.400000;0.008020
5.410000;0.007424
5.420000;0.006873
5.430000;0.006362
5.440000;0.005889
5.450000;0.005452
5.460000;0.005047
5.470000;0.004672
5.480000;0.004325
5.490000;0.004003
5.500000;0.003706
5.510000;0.328431
5.520000;0.966569
5.530000;1.570319
5.540000;2.129716
5.550000;2.647571
5.560000;3.126954
5.570000;3.570721
5.580000;3.981518
5.590000;4.361795
5.600000;4.713820
5.610000;5.039691
5.620000;5.341351
5.630000;5.620600
5.640000;5.879101
5.650000;6.118398
5.660000;6.339916
5.670000;6.544976
5.680000;6.734801
5.690000;6.910523
5.700000;7.073190
5.710000;7.223772
5.720000;7.363166
5.730000;7.492204
5.740000;7.611655
5.750000;7.722232
5.760000;7.824593
5.770000;7.919349
5.780000;8.007066
5.790000;8.088265
5.800000;8.163432
5.810000;8.233014
5.820000;8.297427
5.830000;8.357054
5.840000;8.412251
5.850000;8.463347
5.860000;8.510647
5.870000;8.554433
5.880000;8.594966
5.890000;8.632487
5.900000;8.667221
5.910000;8.699375
5.920000;8.729139
5.930000;8.756692
5.940000;8.782198
5.950000;8.805809
5.960000;8.827666
5.970000;8.847899
5.980000;8.866629
5.990000;8.883967
6.000000;8.900017
6.010000;8.914875
6.020000;8.928629
6.030000;8.941361
6.040000;8.953147
6.050000;8.964057
6.060000;8.973053
6.070000;8.979600
6.080000;8.984372
6.090000;8.987360
6.100000;8.988829
6.110000;8.989531
6.120000;8.989986
6.130000;8.990423
6.140000;8.990895
6.150000;8.991396
6.160000;8.991904
6.170000;8.992407
6.180000;8.992900
6.190000;8.993382
6.200000;8.993852
6.210000;8.994313
6.220000;8.994763
6.230000;8.995205
6.240000;8.995637
6.250000;8.996060
6.260000;8.674982
6.270000;8.043873
6.280000;7.446771
