Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"06EDFF";"06EDFF";"06EDFF";"06EDFF";"06EDFF";"06EDFF"
0;-0.716056;0.023530;-0.517319;-0.046785;100000000.000000;0.100000
1;-0.801874;0.031465;-0.956847;0.972411;100000000.000000;0.100000
2;-0.801874;0.031465;-0.956847;0.881954;100000000.000000;0.100000
3;-0.801874;0.031465;-0.956847;0.881954;100000000.000000;0.100000
4;-0.801874;0.041024;-0.956847;0.881954;100000000.000000;0.100000
5;-0.801874;0.041024;-0.956847;0.881954;100000000.000000;0.100000
6;-0.801874;0.031465;-0.956847;0.881954;100000000.000000;0.100000
7;-0.801874;-0.443587;-0.956847;0.868130;100000000.000000;0.100000
8;-0.801874;0.031465;-0.956847;0.868130;100000000.000000;0.100000
9;-0.801874;0.031465;-0.917551;0.881954;100000000.000000;0.100000
10;-0.801874;0.031465;-0.917551;0.881954;100000000.000000;0.100000
11;-0.941527;0.046779;-0.956847;0.881954;100000000.000000;0.100000
12;-0.801874;0.031465;-0.917551;0.881954;100000000.000000;0.100000
13;-0.801874;0.031465;-0.917551;0.881954;100000000.000000;0.100000
14;-0.801874;0.031465;-0.917551;0.881954;100000000.000000;0.100000
15;-0.812870;0.031465;-0.917551;0.881954;100000000.000000;0.100000
16;-1.005155;0.031465;-0.956847;0.881954;100000000.000000;0.100000
17;-1.005898;-0.324602;-0.956847;1.056805;100000000.000000;0.100000
18;-0.941527;-0.412704;-0.956847;1.056805;100000000.000000;0.100000
19;-0.858744;-0.319848;-0.956847;1.056805;100000000.000000;0.100000
20;-0.985348;0.031465;-0.956847;0.881954;100000000.000000;0.100000
21;-0.985348;0.031465;-0.956847;1.056805;100000000.000000;0.100000
22;-0.858744;0.028005;-0.956847;1.056805;100000000.000000;0.100000
23;-0.858744;0.031465;-0.956847;1.056805;100000000.000000;0.100000
24;-0.858744;0.031465;-0.956847;1.056805;100000000.000000;0.100000
25;-0.858744;0.031465;-0.956847;1.056805;100000000.000000;0.100000
26;-0.844014;0.031465;-0.956847;1.056805;100000000.000000;0.100000
27;-0.844014;0.031465;-0.956847;1.136603;100000000.000000;0.100000
28;-0.844014;0.031465;-0.956847;1.136603;100000000.000000;0.100000
29;-0.858744;0.031465;-0.956847;1.136603;100000000.000000;0.100000
30;-0.858744;0.031465;-0.956847;1.136603;100000000.000000;0.100000
31;-0.803438;0.031465;-0.956847;1.109299;100000000.000000;0.100000
32;-0.844014;0.031465;-0.956847;1.136603;100000000.000000;0.100000
33;-0.858744;0.031465;-0.956847;1.151811;100000000.000000;0.100000
34;-0.858744;0.031465;-0.956847;1.151811;100000000.000000;0.100000
35;-0.818688;0.031465;-0.956847;1.136603;100000000.000000;0.100000
36;-0.858744;0.031465;-0.956847;1.252780;100000000.000000;0.100000
37;-0.858744;0.031465;-0.956847;1.375137;100000000.000000;0.100000
38;-0.844014;0.031465;-0.956847;1.375137;100000000.000000;0.100000
39;-0.858744;0.031465;-0.956847;1.375137;100000000.000000;0.100000
40;-0.818688;0.031465;-1.035139;1.358185;100000000.000000;0.100000
