Zeit [s];r [rad];u2
7.85;31.415927;0
7.87;31.415927;0
7.89;31.415927;0
7.91;31.415927;0
7.93;31.415927;0
7.95;31.415927;0
7.97;31.415927;0
7.99;31.415927;0
8.01;31.415927;0
8.03;31.415927;0
8.05;31.415927;0
8.07;31.415927;0
8.09;31.415927;0
8.11;31.415927;0
8.13;31.415927;0
8.15;31.415927;0
8.17;31.415927;0
8.19;31.415927;0
8.21;31.415927;0
8.23;31.415927;0
8.25;31.415927;0
8.27;31.415927;0
8.29;31.415927;0
8.31;31.415927;0
8.33;31.415927;0
8.35;31.415927;0
8.37;31.415927;0
8.39;31.415927;0
8.41;31.415927;0
8.43;31.415927;0
8.45;31.415927;0
8.47;31.415927;0
8.49;31.415927;0
8.51;31.415927;0
8.53;31.415927;0
8.55;31.415927;0
8.57;31.415927;0
8.59;31.415927;0
8.61;31.415927;0
8.63;31.415927;0
8.65;31.415927;0
8.67;31.415927;0
8.69;31.415927;0
8.71;31.415927;0
8.73;31.415927;0
8.75;31.415927;0
8.77;31.415927;0
8.79;31.415927;0
8.81;31.415927;0
8.83;31.415927;0
8.85;31.415927;0
8.87;31.415927;0
8.89;31.415927;0
8.91;31.415927;0
8.93;31.415927;0
8.95;31.415927;0
8.97;31.415927;0
8.99;31.415927;0
9.01;31.415927;0
9.03;31.415927;0
9.05;31.415927;0
9.07;31.415927;0
9.09;31.415927;0
9.11;31.415927;0
9.13;31.415927;0
9.15;31.415927;0
9.17;31.415927;0
9.19;31.415927;0
9.21;31.415927;0
9.23;31.415927;0
9.25;31.415927;0
9.27;31.415927;0
9.29;31.415927;0
9.31;31.415927;0
9.33;31.415927;0
9.35;31.415927;0
9.37;31.415927;0
9.39;31.415927;0
9.41;31.415927;0
9.43;31.415927;0
9.45;31.415927;0
9.47;31.415927;0
9.49;31.415927;0
9.51;31.415927;0
9.53;31.415927;0
9.55;31.415927;0
9.57;31.415927;0
9.59;31.415927;0
9.61;31.415927;0
9.63;31.415927;0
9.65;31.415927;0
9.67;31.415927;0
9.69;31.415927;0
9.71;31.415927;0
9.73;31.415927;0
9.75;31.415927;0
9.77;31.415927;0
9.79;31.415927;0
9.81;31.415927;0
9.83;31.415927;0
9.85;31.415927;0
9.87;31.415927;0
9.89;31.415927;0
9.91;31.415927;0
9.93;31.415927;0
9.95;31.415927;0
9.97;31.415927;0
9.99;31.415927;0
10.01;12.566371;0
10.03;12.566371;0
10.05;12.566371;0
10.07;12.566371;0
10.09;12.566371;0
10.11;12.566371;0
10.13;12.566371;0
10.15;12.566371;0
10.17;12.566371;0
10.19;12.566371;0
