Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"0000FF";"0000FF";"0000FF";"0000FF";"0000FF";"0000FF"
0;9.458602;4.164861;9.777825;1.179754;10.000000;0.100000
1;4.729453;8.743248;9.777825;1.179754;10.000000;0.100000
2;9.458602;4.164861;3.758965;1.841486;10.000000;0.100000
3;9.458602;4.164861;4.466994;0.541440;10.000000;0.100000
4;4.729453;8.743248;3.758965;1.179754;10.000000;0.100000
5;9.458602;8.743248;9.777825;0.016546;10.000000;0.100000
6;9.458602;8.743248;9.777825;0.016546;10.000000;0.100000
7;12.314450;8.743248;13.467331;0.016546;10.000000;0.100000
8;12.314450;8.743248;0.810978;0.016546;10.000000;0.100000
9;9.458602;10.119124;0.810978;0.016546;10.000000;0.100000
10;9.458602;10.119124;0.810978;0.016546;10.000000;0.100000
11;9.458602;10.119124;0.810978;0.016546;10.000000;0.100000
12;9.458602;10.119124;0.810978;0.016546;10.000000;0.100000
13;9.458602;10.119124;0.810978;0.009851;10.000000;0.100000
14;9.458602;10.119124;2.260118;0.016546;10.000000;0.100000
15;9.458602;8.743248;3.758965;0.158979;10.000000;0.100000
16;9.458602;8.743248;4.068769;0.158979;10.000000;0.100000
17;10.092882;8.743248;3.758965;0.016546;10.000000;0.100000
18;10.092882;14.105432;3.758965;0.029088;10.000000;0.100000
19;10.092882;14.105432;3.758965;0.009851;10.000000;0.100000
20;9.458602;14.364104;0.810978;0.029088;10.000000;0.100000
21;9.458602;14.364104;0.810978;0.016546;10.000000;0.100000
22;9.458602;14.364104;0.810978;0.016546;10.000000;0.100000
23;9.458602;17.241704;13.467331;0.158979;10.000000;0.100000
24;9.458602;15.053398;3.758965;0.016546;10.000000;0.100000
25;9.458602;14.364104;0.810978;0.009851;10.000000;0.100000
26;9.458602;27.093405;1.157139;0.040459;10.000000;0.100000
27;9.458602;27.093405;1.157139;0.040459;10.000000;0.100000
28;9.458602;45.452936;0.810978;0.029088;10.000000;0.100000
29;9.458602;45.452936;3.488394;0.016546;10.000000;0.100000
30;9.458602;45.452936;3.488394;0.016546;10.000000;0.100000
31;9.458602;45.452936;1.157139;0.016546;10.000000;0.100000
32;9.458602;47.636255;1.157139;0.023108;10.000000;0.100000
33;9.458602;62.176902;1.157139;0.016546;10.000000;0.100000
34;9.458602;62.176902;1.157139;0.016546;10.000000;0.100000
35;9.458602;61.224326;0.029699;0.016546;10.000000;0.100000
36;9.458602;90.831923;0.029699;0.019050;10.000000;0.100000
37;9.458602;90.831923;1.157139;0.016546;10.000000;0.100000
38;9.458602;90.831923;1.157139;0.016546;10.000000;0.100000
39;9.458602;148.392962;1.157139;0.016546;10.000000;0.100000
40;9.458602;148.392962;1.157139;0.016546;10.000000;0.100000
41;9.458602;120.964217;1.985414;0.007475;10.000000;0.100000
42;9.458602;120.964217;1.985414;0.001259;10.000000;0.100000
43;9.458602;120.964217;1.985414;0.001259;10.000000;0.100000
44;9.458602;120.964217;1.671249;0.007475;10.000000;0.100000
45;9.458602;120.964217;1.671249;0.007475;10.000000;0.100000
46;9.458602;120.964217;1.671249;0.007475;10.000000;0.100000
