Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"3762FF";"3762FF";"3762FF";"3762FF";"3762FF";"3762FF"
0;-0.864528;-0.052522;0.358867;0.128422;100000000.000000;0.100000
1;-0.864528;-0.052522;0.358867;0.128422;100000000.000000;0.100000
2;-1.825495;0.046663;-1.245582;0.969695;100000000.000000;0.100000
3;-1.888001;-0.521340;-2.206420;1.039899;100000000.000000;0.100000
4;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
5;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
6;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
7;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
8;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
9;-0.908607;-0.092395;-0.818335;2.316721;100000000.000000;0.100000
10;-1.540571;0.027606;-1.650311;2.462175;100000000.000000;0.100000
11;-1.540571;0.027606;-1.650311;2.462175;100000000.000000;0.100000
12;-1.732358;-0.018112;-1.946424;2.145923;100000000.000000;0.100000
13;-1.995324;-0.208585;-1.489969;3.112780;100000000.000000;0.100000
14;-1.995324;-0.208585;-1.489969;3.112780;100000000.000000;0.100000
15;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
16;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
17;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
18;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
19;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
20;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
21;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
22;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
23;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
24;-1.732358;-0.018112;-1.112553;2.971103;100000000.000000;0.100000
25;-1.408585;-0.024022;-0.983272;3.082490;100000000.000000;0.100000
26;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
27;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
28;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
29;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
30;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
31;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
32;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
33;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
34;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
35;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
36;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
37;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
38;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
39;-1.357177;-0.000739;-0.855515;3.799790;100000000.000000;0.100000
40;-1.327351;-0.008910;-0.805429;4.025407;100000000.000000;0.100000
