Epoche;Durchschnitt
Fehler;-
452;4.366249
453;4.366247
454;4.366245
455;4.366243
456;4.366241
457;4.366239
458;4.366237
459;4.366235
460;4.366232
461;4.366230
462;4.366228
463;4.366225
464;4.366223
465;4.366221
466;4.366219
467;4.366217
468;4.366214
469;4.366212
470;4.366210
471;4.366207
472;4.366205
473;4.366203
474;4.366200
475;4.366198
476;4.366196
477;4.366194
478;4.366192
479;4.366190
480;4.366188
481;4.366187
482;4.366185
483;4.366183
484;4.366182
485;4.366180
486;4.366178
487;4.366177
488;4.366175
489;4.366174
490;4.366173
491;4.366171
492;4.366170
493;4.366168
494;4.366167
495;4.366165
496;4.366164
497;4.366163
498;4.366161
499;4.366160
500;4.366159
501;4.366157
502;4.366156
503;4.366155
504;4.366154
505;4.366153
506;4.366152
507;4.366151
508;4.366149
509;4.366148
510;4.366147
511;4.366146
512;4.366145
513;4.366144
514;4.366143
515;4.366141
516;4.366140
517;4.366139
518;4.366138
519;4.366137
520;4.366136
521;4.366135
522;4.366134
523;4.366133
524;4.366132
525;4.366131
526;4.366130
527;4.366129
528;4.366128
529;4.366127
530;4.366126
531;4.366125
532;4.366124
533;4.366123
534;4.366122
535;4.366121
536;4.366120
537;4.366119
538;4.366118
539;4.366117
540;4.366116
541;4.366115
542;4.366114
543;4.366113
544;4.366112
545;4.366111
546;4.366110
547;4.366109
548;4.366108
549;4.366107
550;4.366106
551;4.366105
552;4.366104
553;4.366103
554;4.366102
555;4.366101
556;4.366100
557;4.366099
558;4.366099
559;4.366098
560;4.366097
561;4.366096
562;4.366096
563;4.366095
564;4.366094
565;4.366094
566;4.366093
567;4.366093
568;4.366092
569;4.366091
570;4.366091
571;4.366090
572;4.366089
573;4.366088
574;4.366088
575;4.366087
576;4.366086
577;4.366085
578;4.366084
579;4.366084
580;4.366083
581;4.366082
582;4.366082
583;4.366081
584;4.366080
585;4.366080
586;4.366079
587;4.366078
588;4.366078
589;4.366077
590;4.366076
591;4.366075
592;4.366075
593;4.366074
594;4.366073
595;4.366073
596;4.366072
597;4.366071
598;4.366071
599;4.366070
600;4.366070
601;4.366069
602;4.366069
603;4.366068
604;4.366068
605;4.366067
606;4.366067
607;4.366066
608;4.366066
609;4.366066
610;4.366065
611;4.366065
612;4.366064
613;4.366064
614;4.366064
615;4.366063
616;4.366063
617;4.366063
618;4.366062
619;4.366062
620;4.366062
621;4.366061
622;4.366061
623;4.366061
624;4.366060
625;4.366060
626;4.366060
627;4.366060
628;4.366059
629;4.366059
630;4.366059
631;4.366058
632;4.366058
633;4.366058
634;4.366058
635;4.366057
636;4.366057
637;4.366057
638;4.366056
639;4.366056
640;4.366056
641;4.366056
642;4.366055
643;4.366055
644;4.366055
645;4.366055
646;4.366055
647;4.366054
648;4.366054
649;4.366054
650;4.366054
651;4.366053
652;4.366053
653;4.366053
654;4.366053
655;4.366053
656;4.366052
657;4.366052
658;4.366052
659;4.366052
660;4.366052
661;4.366051
662;4.366051
663;4.366051
664;4.366051
665;4.366051
666;4.366050
667;4.366050
668;4.366050
669;4.366050
670;4.366050
671;4.366049
672;4.366049
673;4.366049
674;4.366049
675;4.366049
676;4.366049
677;4.366048
678;4.366048
679;4.366048
680;4.366048
681;4.366048
682;4.366047
683;4.366047
684;4.366047
685;4.366047
686;4.366047
687;4.366047
688;4.366046
689;4.366046
690;4.366046
691;4.366046
692;4.366046
693;4.366045
694;4.366045
695;4.366045
696;4.366044
697;4.366044
698;4.366044
699;4.366043
700;4.366043
701;4.366043
702;4.366042
703;4.366042
704;4.366042
705;4.366041
706;4.366041
707;4.366040
708;4.366040
709;4.366040
710;4.366039
711;4.366039
712;4.366039
713;4.366039
714;4.366038
715;4.366038
716;4.366038
717;4.366037
718;4.366037
719;4.366037
720;4.366036
721;4.366036
722;4.366036
723;4.366035
724;4.366035
725;4.366035
726;4.366034
727;4.366034
728;4.366034
729;4.366033
730;4.366033
731;4.366033
732;4.366032
733;4.366032
734;4.366032
735;4.366032
736;4.366031
737;4.366031
738;4.366031
739;4.366031
740;4.366030
741;4.366030
742;4.366030
743;4.366029
744;4.366029
745;4.366029
746;4.366028
747;4.366028
748;4.366028
749;4.366028
750;4.366027
751;4.366027
752;4.366027
753;4.366026
754;4.366026
755;4.366026
756;4.366025
757;4.366025
758;4.366025
759;4.366025
760;4.366024
761;4.366024
762;4.366024
763;4.366024
764;4.366023
765;4.366023
766;4.366023
767;4.366023
768;4.366022
769;4.366022
770;4.366022
771;4.366022
772;4.366022
773;4.366022
774;4.366021
775;4.366021
776;4.366021
777;4.366021
778;4.366020
779;4.366020
780;4.366020
781;4.366020
782;4.366020
783;4.366019
784;4.366019
785;4.366019
786;4.366019
787;4.366019
788;4.366019
789;4.366018
790;4.366018
791;4.366018
792;4.366018
793;4.366018
794;4.366017
795;4.366017
796;4.366017
797;4.366017
798;4.366016
799;4.366016
800;4.366016
801;4.366016
802;4.366016
803;4.366015
804;4.366015
805;4.366015
806;4.366015
807;4.366014
808;4.366014
809;4.366014
810;4.366013
811;4.366013
812;4.366013
813;4.366012
814;4.366012
815;4.366011
816;4.366011
817;4.366010
818;4.366010
819;4.366010
820;4.366009
821;4.366009
822;4.366008
823;4.366008
824;4.366007
825;4.366007
826;4.366006
827;4.366006
828;4.366005
829;4.366005
830;4.366004
831;4.366004
832;4.366003
833;4.366003
834;4.366002
835;4.366002
836;4.366001
837;4.366000
838;4.366000
839;4.365999
840;4.365999
841;4.365998
842;4.365997
843;4.365997
844;4.365996
845;4.365996
846;4.365995
847;4.365995
848;4.365994
849;4.365993
850;4.365993
851;4.365992
852;4.365991
853;4.365991
854;4.365990
855;4.365990
856;4.365989
857;4.365989
858;4.365988
859;4.365988
860;4.365987
861;4.365987
862;4.365986
863;4.365986
864;4.365985
865;4.365985
866;4.365984
867;4.365984
868;4.365983
869;4.365983
870;4.365983
871;4.365982
872;4.365982
873;4.365981
874;4.365980
875;4.365980
876;4.365979
877;4.365979
878;4.365978
879;4.365978
880;4.365977
881;4.365977
882;4.365976
883;4.365976
884;4.365975
885;4.365975
886;4.365974
887;4.365974
888;4.365973
889;4.365973
890;4.365972
891;4.365972
892;4.365972
893;4.365971
894;4.365971
895;4.365970
896;4.365970
897;4.365970
898;4.365969
899;4.365969
900;4.365969
901;4.365969
902;4.365968
903;4.365968
904;4.365968
905;4.365967
906;4.365967
907;4.365967
908;4.365966
909;4.365966
910;4.365965
911;4.365965
912;4.365964
913;4.365964
914;4.365963
915;4.365963
916;4.365963
917;4.365962
918;4.365962
919;4.365961
920;4.365961
921;4.365961
922;4.365960
923;4.365960
924;4.365959
925;4.365959
926;4.365959
927;4.365959
928;4.365958
929;4.365958
930;4.365958
931;4.365957
932;4.365957
933;4.365957
934;4.365957
935;4.365956
936;4.365956
937;4.365956
938;4.365956
939;4.365955
940;4.365955
941;4.365955
942;4.365955
943;4.365954
944;4.365954
945;4.365954
946;4.365954
947;4.365953
948;4.365953
949;4.365953
950;4.365953
951;4.365952
952;4.365952
953;4.365952
954;4.365952
955;4.365951
956;4.365951
957;4.365951
958;4.365950
959;4.365950
960;4.365950
961;4.365950
962;4.365950
963;4.365949
964;4.365949
965;4.365949
966;4.365949
967;4.365948
968;4.365948
969;4.365948
970;4.365948
971;4.365948
972;4.365947
973;4.365947
974;4.365947
975;4.365947
976;4.365947
977;4.365946
978;4.365946
979;4.365946
980;4.365946
981;4.365946
982;4.365945
983;4.365945
984;4.365945
985;4.365945
986;4.365945
987;4.365944
988;4.365944
989;4.365944
990;4.365944
991;4.365944
992;4.365943
993;4.365943
994;4.365943
995;4.365943
996;4.365943
997;4.365942
998;4.365942
999;4.365942
1000;4.365942
1001;4.365941
1002;4.365941
1003;4.365941
1004;4.365941
1005;4.365940
1006;4.365940
1007;4.365940
1008;4.365939
1009;4.365939
1010;4.365939
1011;4.365939
1012;4.365938
1013;4.365938
1014;4.365937
1015;4.365937
1016;4.365937
1017;4.365936
1018;4.365936
1019;4.365936
1020;4.365935
1021;4.365935
1022;4.365934
1023;4.365934
1024;4.365934
1025;4.365933
1026;4.365933
1027;4.365933
1028;4.365932
1029;4.365932
1030;4.365932
1031;4.365931
1032;4.365931
1033;4.365931
1034;4.365930
1035;4.365930
1036;4.365929
1037;4.365929
1038;4.365929
1039;4.365928
1040;4.365928
1041;4.365927
1042;4.365927
1043;4.365926
1044;4.365926
1045;4.365925
1046;4.365925
1047;4.365924
1048;4.365924
1049;4.365924
1050;4.365923
1051;4.365923
1052;4.365922
1053;4.365922
1054;4.365922
1055;4.365921
1056;4.365921
1057;4.365921
1058;4.365920
1059;4.365920
1060;4.365920
1061;4.365919
1062;4.365919
1063;4.365919
1064;4.365918
1065;4.365918
1066;4.365918
1067;4.365917
1068;4.365917
1069;4.365917
1070;4.365916
1071;4.365916
1072;4.365916
1073;4.365915
1074;4.365915
1075;4.365914
1076;4.365914
1077;4.365913
1078;4.365913
1079;4.365912
1080;4.365912
1081;4.365911
1082;4.365910
1083;4.365909
1084;4.365909
1085;4.365908
1086;4.365907
1087;4.365906
1088;4.365905
1089;4.365904
1090;4.365903
1091;4.365902
1092;4.365901
1093;4.365900
1094;4.365899
1095;4.365898
1096;4.365897
1097;4.365897
1098;4.365896
1099;4.365895
1100;4.365894
1101;4.365894
1102;4.365893
1103;4.365892
1104;4.365892
1105;4.365891
1106;4.365891
1107;4.365890
1108;4.365889
1109;4.365889
1110;4.365888
1111;4.365887
1112;4.365886
1113;4.365886
1114;4.365885
1115;4.365884
1116;4.365884
1117;4.365883
1118;4.365882
1119;4.365882
1120;4.365881
1121;4.365880
1122;4.365879
1123;4.365878
1124;4.365877
1125;4.365876
1126;4.365874
1127;4.365873
1128;4.365872
1129;4.365871
1130;4.365870
1131;4.365869
1132;4.365868
1133;4.365867
1134;4.365866
1135;4.365865
1136;4.365864
1137;4.365863
1138;4.365862
1139;4.365861
1140;4.365860
1141;4.365859
1142;4.365858
1143;4.365857
1144;4.365856
1145;4.365855
1146;4.365854
1147;4.365853
1148;4.365852
1149;4.365852
1150;4.365851
1151;4.365850
1152;4.365849
1153;4.365848
1154;4.365848
1155;4.365847
1156;4.365846
1157;4.365845
1158;4.365845
1159;4.365844
1160;4.365843
1161;4.365843
1162;4.365842
1163;4.365842
1164;4.365841
1165;4.365840
1166;4.365840
1167;4.365839
1168;4.365839
1169;4.365838
1170;4.365838
1171;4.365837
1172;4.365837
1173;4.365836
1174;4.365836
1175;4.365835
1176;4.365835
1177;4.365834
1178;4.365834
1179;4.365833
1180;4.365833
1181;4.365833
1182;4.365832
1183;4.365832
1184;4.365831
1185;4.365831
1186;4.365831
1187;4.365830
1188;4.365830
1189;4.365830
1190;4.365829
1191;4.365829
1192;4.365829
1193;4.365828
1194;4.365828
1195;4.365828
1196;4.365827
