time;u;y1
0;0;1.14E-13
0.02;0;1.14E-13
0.04;0;1.14E-13
0.06;0;1.14E-13
0.08;0;1.14E-13
0.1;0;1.14E-13
0.12;0;1.14E-13
0.14;0;1.14E-13
0.16;0;1.14E-13
0.18;0;1.14E-13
0.2;0;1.14E-13
0.22;0;1.14E-13
0.24;0;1.14E-13
0.26;0;1.14E-13
0.28;0;1.14E-13
0.3;0;1.14E-13
0.32;0;1.14E-13
0.34;0;1.14E-13
0.36;0;1.14E-13
0.38;0;1.14E-13
0.4;0;1.14E-13
0.42;0;1.14E-13
0.44;0;1.14E-13
0.46;0;1.14E-13
0.48;0;1.14E-13
0.5;2000;1.14E-13
0.52;2000;0.009424778
0.54;2000;0.021991149
0.56;2000;0.04712389
0.58;2000;0.075398224
0.6;2000;0.113097336
0.62;2000;0.194778745
0.64;2000;0.241902634
0.66;2000;0.30787608
0.68;2000;0.351858377
0.7;2000;0.398982267
0.72;2000;0.493230047
0.74;2000;0.562345085
0.76;2000;0.606327382
0.78;2000;0.672300828
0.8;2000;0.810530905
0.82;2000;0.898495499
0.84;2000;0.980176908
0.86;2000;1.083849465
0.88;2000;1.291194581
0.9;2000;1.410575101
0.92;2000;1.583362697
0.94;2000;1.721592774
0.96;2000;1.831548517
0.98;2000;1.966637001
1;0;2.217964413
1.02;0;2.375044046
1.04;0;2.532123679
1.06;0;2.66407057
1.08;0;2.780309498
1.1;0;2.91225639
1.12;0;3.144734246
1.14;0;3.292389101
1.16;0;3.405486436
1.18;0;3.521725365
1.2;0;3.773052777
1.22;0;3.917566039
1.24;0;4.087212042
1.26;0;4.225442119
1.28;0;4.351105825
1.3;0;4.60557483
1.32;0;4.737521722
1.34;0;4.882034984
1.36;0;4.988849134
1.38;0;5.101946469
1.4;0;5.290442029
1.42;0;5.394114586
1.44;0;5.482079181
1.46;0;5.664291554
1.48;0;5.774247297
1.5;0;5.865353484
1.52;0;6.016149932
1.54;0;6.126105675
1.56;0;6.242344603
1.58;0;6.465397681
1.6;0;6.575353424
1.62;0;6.719866686
1.64;0;6.817256058
1.66;0;6.908362245
1.68;0;7.087433026
1.7;0;7.175397621
1.72;0;7.247654252
1.74;0;7.332477253
1.76;0;7.41101707
1.78;0;7.586946258
1.8;0;7.678052445
1.82;0;7.756592262
1.84;0;7.847698449
1.86;0;8.020486045
1.88;0;8.105309046
1.9;0;8.224689567
1.92;0;8.296946198
1.94;0;8.388052385
1.96;0;8.529424054
1.98;0;8.604822278
2;0;8.708494836
2.02;0;8.780751467
2.04;0;8.840441727
2.06;0;8.906415173
2.08;0;9.032078879
2.1;0;9.10433551
2.12;0;9.167167363
2.14;0;9.239423994
2.16;0;9.343096552
2.18;0;9.409069998
2.2;0;9.528450518
2.22;0;9.591282371
2.24;0;9.644689447
2.26;0;9.729512448
2.28;0;9.782919523
2.3;0;9.839468191
2.32;0;9.939999156
2.34;0;9.996547824
2.36;0;10.04053012
2.38;0;10.09707879
2.4;0;10.19446816
2.42;0;10.24787524
2.44;0;10.29185753
2.46;0;10.37668053
2.48;0;10.42066283
2.5;0;10.45836194
2.52;0;10.49920265
2.54;0;10.58088406
2.56;0;10.62172476
2.58;0;10.65628228
2.6;0;10.7316805
2.62;0;10.77252121
2.64;0;10.80707873
2.66;0;10.85420262
2.68;0;10.88876014
2.7;0;10.95473358
2.72;0;10.9892911
2.74;0;11.02070703
2.76;0;11.04898136
2.78;0;11.08039729
2.8;0;11.14008755
2.82;0;11.16836188
2.84;0;11.19035303
2.86;0;11.21862737
2.88;0;11.26575126
2.9;0;11.290884
2.92;0;11.31287515
2.94;0;11.33486629
2.96;0;11.37884859
2.98;0;11.39769815
3;0;11.4165477
3.02;0;11.43539726
3.04;0;11.46681319
3.06;0;11.48566274
3.08;0;11.49822911
3.1;0;11.51393708
3.12;0;11.54221141
3.14;0;11.55477778
3.16;0;11.56734415
3.18;0;11.5893353
3.2;0;11.59876008
3.22;0;11.60818486
3.24;0;11.61760963
3.26;0;11.62389282
3.28;0;11.63960078
3.3;0;11.64274237
3.32;0;11.64902556
3.34;0;11.65530874
3.36;0;11.65845034
3.38;0;11.65845034
3.4;0;11.66159193
3.42;0;11.66159193
3.44;0;11.66159193
3.46;0;11.66159193
3.48;0;11.66159193
3.5;0;11.65845034
3.52;0;11.65845034
3.54;0;11.65845034
3.56;0;11.65845034
3.58;0;11.65845034
3.6;0;11.65845034
3.62;0;11.65845034
3.64;0;11.65845034
3.66;0;11.65845034
3.68;0;11.65845034
3.7;0;11.65845034
3.72;0;11.65845034
3.74;0;11.65845034
3.76;0;11.65845034
3.78;0;11.65845034
3.8;0;11.65845034
3.82;0;11.65845034
3.84;0;11.65845034
3.86;0;11.65845034
3.88;0;11.65845034
3.9;0;11.65845034
3.92;0;11.65845034
3.94;0;11.65845034
3.96;0;11.65845034
3.98;0;11.65845034
4;0;11.65845034
4.02;0;11.65845034
4.04;0;11.65845034
4.06;0;11.65845034
4.08;0;11.65845034
4.1;0;11.65845034
4.12;0;11.65845034
4.14;0;11.65845034
4.16;0;11.65845034
4.18;0;11.65845034
4.2;0;11.65845034
4.22;0;11.65845034
4.24;0;11.65845034
4.26;0;11.65845034
4.28;0;11.65845034
4.3;0;11.65845034
4.32;0;11.65845034
4.34;0;11.65845034
4.36;0;11.65845034
4.38;0;11.65845034
4.4;0;11.65845034
4.42;0;11.65845034
4.44;0;11.65845034
4.46;0;11.65845034
4.48;0;11.65845034
4.5;0;11.65845034
4.52;0;11.65845034
4.54;0;11.65845034
4.56;0;11.65845034
4.58;0;11.65845034
4.6;0;11.65845034
4.62;0;11.65845034
4.64;0;11.65845034
4.66;0;11.65845034
4.68;0;11.65845034
4.7;0;11.65845034
4.72;0;11.65845034
4.74;0;11.65845034
4.76;0;11.65845034
4.78;0;11.65845034
4.8;0;11.65845034
4.82;0;11.65845034
4.84;0;11.65845034
4.86;0;11.65845034
4.88;0;11.65845034
4.9;0;11.65845034
4.92;0;11.65845034
4.94;0;11.65845034
4.96;0;11.65845034
4.98;0;11.65845034
5;-2000;11.65845034
5.02;-2000;11.65845034
5.04;-2000;11.64588397
5.06;-2000;11.60818486
5.08;-2000;11.57362734
5.1;-2000;11.53906982
5.12;-2000;11.44796363
5.14;-2000;11.39769815
5.16;-2000;11.34743266
5.18;-2000;11.30030877
5.2;-2000;11.2469017
5.22;-2000;11.14322914
5.24;-2000;11.08668047
5.26;-2000;11.0332734
5.28;-2000;10.91075129
5.3;-2000;10.83221147
5.32;-2000;10.75681325
5.34;-2000;10.65942387
5.36;-2000;10.46150354
5.38;-2000;10.33898142
5.4;-2000;10.23216727
5.42;-2000;10.0907956
5.44;-2000;9.842609784
5.46;-2000;9.698096522
5.48;-2000;9.569291223
5.5;0;9.421636368
