time;u;z;y1;y2
0;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.01;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.02;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.03;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.04;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.05;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.06;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.07;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.08;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.09;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.1;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.11;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.12;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.13;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.14;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.15;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.16;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.17;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.18;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.19;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.2;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.21;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.22;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.23;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.24;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.25;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.26;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.27;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.28;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.29;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.3;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.31;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.32;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.33;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.34;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.35;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.36;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.37;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.38;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.39;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.4;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.41;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.42;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.43;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.44;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.45;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.46;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.47;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.48;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.49;0;0;2.8421709430404e-14;-5.6843418860808e-14
0.5;1000;0;2.8421709430404e-14;-5.6843418860808e-14
0.51;1000;0;2.8421709430404e-14;-5.6843418860808e-14
0.52;1000;0;2.8421709430404e-14;-5.6843418860808e-14
0.53;1000;0;2.8421709430404e-14;-5.6843418860808e-14
0.54;1000;0;0.00314159265360558;-5.6843418860808e-14
0.55;1000;0;0.00942477796078833;-5.6843418860808e-14
0.56;1000;0;0.00942477796078833;-5.6843418860808e-14
0.57;1000;0;0.0188495559215767;-5.6843418860808e-14
0.58;1000;0;0.0188495559215767;-5.6843418860808e-14
0.59;1000;0;0.0282743338823366;-5.6843418860808e-14
