Epoche;Durchschnitt
Fehler;-
0;1
0;"001CFF"
0;167.885436
1;165.530870
2;158.706691
3;149.376082
4;138.894270
5;129.119586
6;118.929496
7;109.173566
8;100.508781
9;92.133493
10;84.784573
11;78.212784
12;71.998206
13;66.175684
14;60.727891
15;55.672250
16;51.583411
17;47.393380
18;43.895076
19;40.437300
20;37.574346
21;34.890092
22;32.349639
23;30.025015
24;27.988067
25;26.215937
26;24.565529
27;22.996409
28;21.607247
29;20.295079
30;19.078102
31;17.928500
32;16.860467
33;15.886325
34;14.978557
35;14.153543
36;13.437531
37;12.757949
38;12.149923
39;11.598281
40;11.091834
41;10.619806
42;10.188496
43;9.763877
44;9.364739
45;8.995409
46;8.633647
47;8.291612
48;8.023398
49;7.757675
50;7.512437
51;7.268388
52;7.030305
53;6.808474
54;6.610999
55;6.446381
56;6.273837
57;6.139294
58;6.003879
59;5.882161
60;5.824633
61;5.729690
62;5.711776
63;5.623707
64;5.556839
65;5.475495
66;5.407727
67;5.391893
68;5.335594
69;5.310568
70;5.267319
71;5.216917
72;5.183532
73;5.147307
74;5.147856
75;5.111975
76;5.073531
77;5.048447
78;5.005380
79;4.991762
80;4.954275
81;4.943286
82;4.937914
83;4.948033
84;4.936659
85;4.959181
86;4.941194
87;4.915116
88;4.907768
89;4.887482
90;4.865926
91;4.840703
92;4.835643
93;4.855361
94;4.883872
95;4.885810
96;4.905373
97;4.896096
98;4.869326
99;4.838197
100;4.814425
101;4.785822
102;4.762411
103;4.819353
104;4.796563
105;4.773122
106;4.757389
107;4.783360
108;4.786204
109;4.791309
110;4.764464
111;4.764327
112;4.737954
113;4.755717
114;4.737891
115;4.723695
116;4.739378
117;4.740634
118;4.731844
119;4.714807
120;4.710347
121;4.705456
122;4.739611
123;4.755006
124;4.753082
125;4.731208
126;4.707357
127;4.685187
128;4.664607
129;4.650763
130;4.637266
131;4.684936
132;4.683888
133;4.681250
134;4.666377
135;4.648782
136;4.658036
137;4.646609
138;4.633699
139;4.629707
140;4.621847
141;4.622296
142;4.693188
143;4.750729
144;4.756601
145;4.768649
146;4.757709
147;4.741765
148;4.756050
149;4.734621
150;4.721587
151;4.703065
152;4.702947
153;4.718823
154;4.739440
155;4.765253
156;4.783279
157;4.771504
158;4.752570
159;4.748811
160;4.728518
161;4.707126
162;4.688964
163;4.698973
164;4.682503
165;4.668099
166;4.656516
167;4.639984
168;4.629447
169;4.628141
170;4.619690
171;4.638684
172;4.643660
173;4.648971
174;4.662349
175;4.660604
176;4.655143
177;4.650615
178;4.650329
179;4.636217
180;4.624842
181;4.620893
182;4.616614
183;4.621912
184;4.609699
185;4.595426
186;4.590025
187;4.587197
188;4.574578
189;4.572351
190;4.562800
191;4.558262
192;4.553870
193;4.609984
194;4.628745
195;4.640655
196;4.638430
197;4.626465
