Epoche;Durchschnitt
Fehler;-
452;4.365333
453;4.365331
454;4.365328
455;4.365326
456;4.365324
457;4.365321
458;4.365319
459;4.365317
460;4.365314
461;4.365312
462;4.365309
463;4.365306
464;4.365304
465;4.365301
466;4.365299
467;4.365297
468;4.365294
469;4.365292
470;4.365289
471;4.365287
472;4.365285
473;4.365283
474;4.365280
475;4.365277
476;4.365274
477;4.365271
478;4.365267
479;4.365264
480;4.365261
481;4.365258
482;4.365255
483;4.365252
484;4.365249
485;4.365246
486;4.365244
487;4.365241
488;4.365238
489;4.365235
490;4.365233
491;4.365230
492;4.365227
493;4.365224
494;4.365221
495;4.365218
496;4.365216
497;4.365213
498;4.365210
499;4.365207
500;4.365204
501;4.365201
502;4.365198
503;4.365195
504;4.365192
505;4.365188
506;4.365185
507;4.365182
508;4.365178
509;4.365175
510;4.365172
511;4.365169
512;4.365166
513;4.365163
514;4.365160
515;4.365158
516;4.365155
517;4.365152
518;4.365149
519;4.365146
520;4.365143
521;4.365139
522;4.365136
523;4.365133
524;4.365130
525;4.365127
526;4.365124
527;4.365120
528;4.365118
529;4.365115
530;4.365112
531;4.365109
532;4.365107
533;4.365104
534;4.365101
535;4.365099
536;4.365096
537;4.365094
538;4.365091
539;4.365089
540;4.365087
541;4.365085
542;4.365083
543;4.365081
544;4.365080
545;4.365078
546;4.365076
547;4.365075
548;4.365073
549;4.365072
550;4.365070
551;4.365069
552;4.365068
553;4.365066
554;4.365065
555;4.365063
556;4.365062
557;4.365060
558;4.365059
559;4.365057
560;4.365056
561;4.365055
562;4.365053
563;4.365052
564;4.365051
565;4.365050
566;4.365049
567;4.365047
568;4.365046
569;4.365045
570;4.365044
571;4.365043
572;4.365042
573;4.365041
574;4.365040
575;4.365039
576;4.365038
577;4.365037
578;4.365036
579;4.365035
580;4.365034
581;4.365033
582;4.365032
583;4.365031
584;4.365030
585;4.365029
586;4.365029
587;4.365028
588;4.365027
589;4.365026
590;4.365025
591;4.365025
592;4.365024
593;4.365023
594;4.365022
595;4.365021
596;4.365021
597;4.365020
598;4.365019
599;4.365019
600;4.365018
601;4.365017
602;4.365016
603;4.365016
604;4.365015
605;4.365014
606;4.365014
607;4.365013
608;4.365012
609;4.365012
610;4.365011
611;4.365010
612;4.365009
613;4.365009
614;4.365008
615;4.365007
616;4.365007
617;4.365006
618;4.365005
619;4.365005
620;4.365004
621;4.365003
622;4.365002
623;4.365002
624;4.365001
625;4.365000
626;4.364999
627;4.364998
628;4.364998
629;4.364997
630;4.364996
631;4.364995
632;4.364994
633;4.364994
634;4.364993
635;4.364992
636;4.364991
637;4.364990
638;4.364989
639;4.364988
640;4.364987
641;4.364986
642;4.364985
643;4.364983
644;4.364982
645;4.364981
646;4.364980
647;4.364979
648;4.364978
649;4.364977
650;4.364976
651;4.364975
652;4.364973
653;4.364972
654;4.364971
655;4.364969
656;4.364968
657;4.364966
658;4.364965
659;4.364963
660;4.364962
661;4.364961
662;4.364960
663;4.364959
664;4.364957
665;4.364956
666;4.364955
667;4.364954
668;4.364953
669;4.364952
670;4.364951
671;4.364949
672;4.364948
673;4.364947
674;4.364945
675;4.364944
676;4.364942
677;4.364940
678;4.364939
679;4.364937
680;4.364935
681;4.364933
682;4.364931
683;4.364928
684;4.364926
685;4.364924
686;4.364922
687;4.364920
688;4.364919
689;4.364917
690;4.364915
691;4.364913
692;4.364912
693;4.364910
694;4.364908
695;4.364906
696;4.364905
697;4.364903
698;4.364902
699;4.364900
700;4.364899
701;4.364897
702;4.364896
703;4.364894
704;4.364893
705;4.364892
706;4.364890
707;4.364889
708;4.364887
709;4.364886
710;4.364884
711;4.364883
712;4.364881
713;4.364880
714;4.364878
715;4.364877
716;4.364875
717;4.364874
718;4.364872
719;4.364871
720;4.364869
721;4.364868
722;4.364866
723;4.364865
724;4.364863
725;4.364861
726;4.364860
727;4.364858
728;4.364856
729;4.364854
730;4.364852
731;4.364851
732;4.364849
733;4.364847
734;4.364845
735;4.364844
736;4.364842
737;4.364840
738;4.364836
739;4.364833
740;4.364831
741;4.364827
742;4.364824
743;4.364819
744;4.364815
745;4.364811
746;4.364807
747;4.364803
748;4.364799
749;4.364794
750;4.364790
751;4.364787
752;4.364783
753;4.364779
754;4.364776
755;4.364772
756;4.364769
757;4.364766
758;4.364763
759;4.364760
760;4.364757
761;4.364754
762;4.364751
763;4.364748
764;4.364745
765;4.364742
766;4.364740
767;4.364737
768;4.364734
769;4.364732
770;4.364729
771;4.364726
772;4.364723
773;4.364720
774;4.364717
775;4.364714
776;4.364711
777;4.364708
778;4.364705
779;4.364701
780;4.364697
781;4.364694
782;4.364690
783;4.364687
784;4.364683
785;4.364680
786;4.364677
787;4.364674
788;4.364671
789;4.364667
790;4.364664
791;4.364661
792;4.364658
793;4.364654
794;4.364651
795;4.364648
796;4.364644
797;4.364641
798;4.364637
799;4.364634
800;4.364631
801;4.364628
802;4.364625
803;4.364622
804;4.364620
805;4.364617
806;4.364615
807;4.364612
808;4.364610
809;4.364608
810;4.364606
811;4.364604
812;4.364601
813;4.364599
814;4.364597
815;4.364595
816;4.364593
817;4.364591
818;4.364589
819;4.364586
820;4.364584
821;4.364582
822;4.364579
823;4.364577
824;4.364575
825;4.364572
826;4.364570
827;4.364568
828;4.364566
829;4.364564
830;4.364562
831;4.364560
832;4.364559
833;4.364557
834;4.364555
835;4.364554
836;4.364552
837;4.364551
838;4.364549
839;4.364548
840;4.364546
841;4.364545
842;4.364544
