Zeit [s];r [v];l [v];u [v];y [v]
1.58;5;0;9.443158311;3.722358524
1.59;5;0;8.268102886;4.080973695
1.6;5;0;6.649087441;4.447000806
1.61;5;0;5.041741707;4.755676064
1.62;5;0;4.816660921;4.824306494
1.63;5;0;4.396807796;4.909691835
1.64;5;0;4.668269894;4.885526165
1.65;5;0;5.026054922;4.852983072
1.66;5;0;4.798724757;4.907114163
1.67;5;0;5.156049071;4.871348975
1.68;5;0;5.496988998;4.843316809
1.69;5;0;5.070256613;4.926768912
1.7;5;0;5.237745126;4.91452497
1.71;5;0;5.344755007;4.912591716
1.72;5;0;4.874810811;4.991532948
1.73;5;0;5.181645178;4.949967965
1.74;5;0;5.319232711;4.938368438
1.75;5;0;4.85810404;5.012154342
1.76;5;0;5.167838344;4.967045049
1.77;5;0;5.219908364;4.964789585
1.78;5;0;4.803805114;5.028264809
1.79;5;0;5.185952758;4.97058935
1.8;5;0;5.245694578;4.96672284
1.81;5;0;4.827484071;5.030198065
1.82;5;0;5.131392885;4.983155508
1.83;5;0;5.163595488;4.981222253
1.84;5;0;4.803405172;5.034386787
1.85;5;0;5.181186903;4.976389115
1.86;5;0;5.223071892;4.974133651
1.87;5;0;4.826774817;5.033420159
1.88;5;0;5.171004901;4.980255626
1.89;5;0;5.197140304;4.979611207
1.9;5;0;4.790258631;5.039542137
1.91;5;0;5.169342106;4.980577835
1.92;5;0;5.206661391;4.97832237
1.93;5;0;4.812719651;5.036642252
1.94;5;0;5.171893809;4.980900044
1.95;5;0;5.165028545;4.984766555
1.96;5;0;4.782518772;5.040508765
1.97;5;0;5.195153895;4.976711324
1.98;5;0;5.227459605;4.975744697
1.99;5;0;4.820178406;5.036320043
2;5;0;5.182010788;4.980255626
2.01;5;0;5.180461977;4.983477718
2.02;5;0;4.783207906;5.041475393
2.03;5;0;5.197096426;4.977355743
2.04;5;0;5.240234809;4.974778069
2.05;5;0;4.8293932;5.035997834
2.06;5;0;5.161585556;4.984122136
2.07;5;0;5.195041553;4.981866672
2.08;5;0;4.792622472;5.040830975
2.09;5;0;5.188757262;4.979288998
2.1;5;0;5.218253308;4.97832237
2.11;5;0;4.808162434;5.038897718
2.12;5;0;5.181027269;4.980900044
2.13;5;0;5.236451488;4.976066906
2.14;5;0;4.766529558;5.045341906
2.15;5;0;5.166975525;4.98251109
2.16;5;0;5.234485813;4.975744697
2.17;5;0;4.799520383;5.040186556
2.18;5;0;5.161752318;4.983477718
2.19;5;0;5.172840552;4.984444345
2.2;5;0;4.703015249;5.052430514
2.21;5;0;5.181094332;4.977677952
2.22;5;0;5.122372717;4.989277484
2.23;5;0;4.86183207;5.027298181
2.24;5;0;5.281945615;4.964467376
2.25;5;0;5.258386699;4.973167023
2.26;5;0;4.81008181;5.039864346
2.27;5;0;5.163436881;4.984444345
2.28;5;0;5.221918867;4.97864458
2.29;5;0;4.829932937;5.036642252
2.3;5;0;5.166036916;4.984122136
2.31;5;0;5.190264841;4.983155508
2.32;5;0;4.79105496;5.041475393
2.33;5;0;5.158803122;4.983799927
2.34;5;0;5.24336472;4.97445586
2.35;5;0;4.830567302;5.035997834
2.36;5;0;5.167373694;4.983477718
2.37;5;0;5.233830357;4.976711324
2.38;5;0;4.795504279;5.041475393
2.39;5;0;5.170173495;4.982833299
2.4;5;0;5.225797485;4.977677952
2.41;5;0;4.800259895;5.040508765
2.42;5;0;5.162140623;4.983799927
2.43;5;0;5.182105721;4.983477718
2.44;5;0;4.768702514;5.043730859
2.45;5;0;5.161676444;4.982188881
2.46;5;0;5.245687063;4.973167023
2.47;5;0;4.818145348;5.036964462
2.48;5;0;5.170047245;4.982188881
2.49;5;0;5.180233293;4.983477718
2.5;0;0;0;5.044053069
2.51;0;0;0;4.968333886
2.52;0;0;0;4.611648976
2.53;0;0;0;4.146381618
2.54;0;0;0;3.893771923
2.55;0;0;0;3.587354541
2.56;0;0;0;3.312191767
2.57;0;0;0;3.058939455
2.58;0;0;0;2.825986438
2.59;0;0;0;2.596255857
2.6;0;0;0;2.406478711
2.61;0;0;0;2.21863503
2.62;0;0;0;2.033691402
2.63;0;0;0;1.877101678
2.64;0;0;0;1.729855929
2.65;0;0;0;1.587443321
2.66;0;0;0;1.448252837
2.67;0;0;0;1.330005456
2.68;0;0;0;1.219490948
2.69;0;0;0;1.111876303
2.7;0;0;0;1.02681567
2.71;0;0;0;0.92242313
2.72;0;0;0;0.848639548
2.73;0;0;0;0.784521961
2.74;0;0;0.11101689;0.693984097
2.75;0;0;0;0.635021739
2.76;0;0;0.323489918;0.558660677
2.77;0;0;0;0.527085225
2.78;0;0;0.293591949;0.477788866
2.79;0;0;0;0.449757608
2.8;0;0;0.254952566;0.410449413
2.81;0;0;0.128227294;0.365663856
2.82;0;0;0;0.343109982
2.83;0;0;0.204883103;0.299291033
2.84;0;0;0.090894209;0.269648808
2.85;0;0;0.016136125;0.239039993
2.86;0;0;0.013959558;0.202953817
2.87;0;0;0.094948688;0.160745885
2.88;0;0;0;0.150113354
2.89;0;0;0.210409724;0.120148951
2.9;0;0;0.243239866;0.097272903
2.91;0;0;0.222569049;0.085351584
2.92;0;0;0.194130039;0.076330045
2.93;0;0;0.200900802;0.063764331
2.94;0;0;0.205219636;0.053454002
2.95;0;0;0.218469789;0.043465872
2.96;0;0;0.228765386;0.035410928
2.97;0;0;0.213236833;0.032188951
2.98;0;0;0.270428308;0.019301041
2.99;0;0;0.270152595;0.016401262
3;0;0;0.279958447;0.012534889
3.01;0;0;0.284750903;0.009957307
3.02;0;0;0.306194537;0.00544654
3.03;0;0;0.295643937;0.006090935
3.04;0;0;0.300539496;0.004479946
3.05;0;0;0.309497968;0.00254676
3.06;0;0;0.327484419;-0.000353019
3.07;0;0;0.304799855;0.002868958
3.08;0;0;0.320128175;0.000291376
3.09;0;0;0.319810575;0.000291376
3.1;0;0;0.310265232;0.001580167
3.11;0;0;0.313156721;0.000935772
3.12;0;0;0.330592214;-0.00164181
3.13;0;0;0.323154045;-0.000353019
3.14;0;0;0.335073514;-0.001964008
3.15;0;0;0.30722412;0.002224562
3.16;0;0;0.330175638;-0.001319612
3.17;0;0;0.333920951;-0.00164181
3.18;0;0;0.335710523;-0.00164181
3.19;0;0;0.319044612;0.000935772
3.2;0;0;0.350321718;-0.003574996
3.21;0;0;0.319614431;0.001257969
3.22;0;0;0.327470987;-3.08E-05
3.23;0;0;0.329811517;-0.000353019
3.24;0;0;0.332503244;-0.000675217
3.25;0;0;0.347080843;-0.002608403
3.26;0;0;0.356844809;-0.003574996
3.27;0;0;0.344593006;-0.001319612
3.28;0;0;0.348338319;-0.00164181
3.29;0;0;0.34090015;-0.000353019
3.3;0;0;0.334364134;0.000613574
3.31;0;0;0.331388403;0.000935772
3.32;0;0;0.353437767;-0.002286205
3.33;0;0;0.342088117;-0.000353019
3.34;0;0;0.342472908;-0.000353019
3.35;0;0;0.345164635;-0.000675217
3.36;0;0;0.350514492;-0.001319612
3.37;0;0;0.326576579;0.002224562
3.38;0;0;0.344914225;-0.000675217
3.39;0;0;0.343343276;-0.000353019
3.4;0;0;0.343728067;-0.000353019
3.41;0;0;0.337192051;0.000613574
3.42;0;0;0.329602449;0.001580167
3.43;0;0;0.325573131;0.001902365
3.44;0;0;0.353489715;-0.002286205
3.45;0;0;0.328298453;0.001580167
3.46;0;0;0.335803813;0.000291376
3.47;0;0;0.323951535;0.001902365
3.48;0;0;0.344947313;-0.001319612
3.49;0;0;0.332544077;0.000613574
3.5;8;0;10;-0.001964008
3.51;8;0;10;0.567360037
3.52;8;0;10;1.077400966
3.53;8;0;10;1.531380473
3.54;8;0;10;1.999215873
3.55;8;0;10;2.490895678
3.56;8;0;10;2.92651383
3.57;8;0;10;3.36567769
3.58;8;0;10;3.714625594
3.59;8;0;10;4.108683451
3.6;8;0;10;4.429279394
3.61;8;0;10;4.800463053
3.62;8;0;10;5.117839052
3.63;8;0;10;5.39107323
3.64;8;0;10;5.709095615
3.65;8;0;10;6.007786346
3.66;8;0;10;6.26040152
3.67;8;0;10;6.481762622
3.68;8;0;9.677267938;6.695391139
3.69;8;0;9.42897625;6.928675405
3.7;8;0;9.087895118;7.139405145
3.71;8;0;8.457130412;7.358513119
3.72;8;0;7.940517896;7.528322227
3.73;8;0;7.688693419;7.635298937
3.74;8;0;7.87396528;7.664943113
3.75;8;0;7.876963932;7.71553157
3.76;8;0;8.127050119;7.72390928
3.77;8;0;8.09346049;7.770631139
3.78;8;0;8.131219866;7.800275369
3.79;8;0;8.06053278;7.840552873
3.8;8;0;8.00131339;7.873097113
3.81;8;0;7.865092907;7.911441335
3.82;8;0;7.813967539;7.932063446
3.83;8;0;7.671151034;7.962352182
3.84;8;0;7.792935648;7.951074459
3.85;8;0;7.444829006;8.007140867
3.86;8;0;7.792338948;7.957518872
3.87;8;0;7.527184815;8.001018671
3.88;8;0;8.128227518;7.916919083
3.89;8;0;7.367465679;8.035818529
3.9;8;0;8.521193988;7.86923047
3.91;8;0;7.254094611;8.066107308
3.92;8;0;8.801621595;7.839908433
3.93;8;0;8.56545814;7.897263637
3.94;8;0;7.436220643;8.070618404
