Zeit [s];r [v];l [v];u [v];y [v]
1.6;5;0;6.62753502;4.437656788
1.61;5;0;3.948423789;4.718944304
1.62;5;0;2.628463459;4.857816204
1.63;5;0;5.619701055;4.598760656
1.64;5;0;5.655317911;4.62421509
1.65;5;0;2.978502981;4.891970343
1.66;5;0;5.860293071;4.640325494
1.67;5;0;3.686225585;4.86168271
1.68;5;0;3.405770578;4.896803477
1.69;5;0;6.928140708;4.587161169
1.7;5;0;3.246086559;4.948034711
1.71;5;0;4.160872625;4.869415722
1.72;5;0;7.422151349;4.585227921
1.73;5;0;6.344360573;4.711855721
1.74;5;0;5.506178824;4.807873851
1.75;5;0;4.283902789;4.931602048
1.76;5;0;4.878781548;4.882948494
1.77;5;0;4.631570228;4.913558343
1.78;5;0;4.503269232;4.931279839
1.79;5;0;5.159265354;4.877148734
1.8;5;0;5.28182694;4.874893272
1.81;5;0;5.169892184;4.893903597
1.82;5;0;5.092991204;4.908402999
1.83;5;0;5.416293963;4.885848374
1.84;5;0;5.027157311;4.929024376
1.85;5;0;4.976084134;4.938690647
1.86;5;0;5.529536091;4.893259179
1.87;5;0;4.783668084;4.968011677
1.88;5;0;5.031021745;4.948034711
1.89;5;0;5.05794357;4.949323547
1.9;5;0;4.929898231;4.964467376
1.91;5;0;5.129943433;4.949001338
1.92;5;0;5.080916008;4.957056566
1.93;5;0;4.756988024;4.989277484
1.94;5;0;5.334733753;4.938046229
1.95;5;0;4.939971;4.978000161
1.96;5;0;4.789166405;4.993143995
1.97;5;0;5.353103201;4.942879365
1.98;5;0;5.022526512;4.976711324
1.99;5;0;4.718800463;5.005710156
2;5;0;5.441028851;4.940301692
2.01;5;0;4.804609292;5.001843645
2.02;5;0;4.88190825;4.994755041
2.03;5;0;5.172478891;4.968978304
2.04;5;0;4.989453408;4.987666438
2.05;5;0;4.777275635;5.007643412
2.06;5;0;5.45858862;4.945779247
2.07;5;0;5.100649727;4.981866672
2.08;5;0;4.671108664;5.021820622
2.09;5;0;5.376970994;4.956734357
2.1;5;0;4.852813084;5.006998993
2.11;5;0;5.076384736;4.986377601
2.12;5;0;5.012013995;4.993143995
2.13;5;0;5.18213984;4.97832237
2.14;5;0;4.837754067;5.010865505
2.15;5;0;5.41268698;4.958345402
2.16;5;0;5.187978926;4.981544462
2.17;5;0;4.730052773;5.024076087
2.18;5;0;5.341042479;4.967367258
2.19;5;0;4.758324278;5.022142831
2.2;5;0;4.955556649;5.002810272
2.21;5;0;5.128751168;4.987022019
2.22;5;0;5.214233209;4.980255626
2.23;5;0;4.846832492;5.014732016
2.24;5;0;5.382895774;4.965434003
2.25;5;0;5.012937899;5.001199226
2.26;5;0;4.72199786;5.027298181
2.27;5;0;5.39129207;4.965111794
2.28;5;0;4.745922102;5.025687134
2.29;5;0;5.004783367;5.000554808
2.3;5;0;5.251369941;4.97832237
2.31;5;0;4.695758167;5.029875855
2.32;5;0;5.212642419;4.981222253
2.33;5;0;4.962617883;5.005065737
2.34;5;0;5.234265171;4.980255626
2.35;5;0;4.945626689;5.007643412
2.36;5;0;5.315471019;4.973811442
2.37;5;0;5.146510215;4.99088853
2.38;5;0;4.763510447;5.026009343
2.39;5;0;5.36938574;4.969622722
2.4;5;0;4.720435644;5.030198065
2.41;5;0;5.147561666;4.989599693
2.42;5;0;5.044832705;4.99958818
2.43;5;0;5.338727746;4.973167023
2.44;5;0;4.826588669;5.021176203
2.45;5;0;5.418399258;4.966400631
2.46;5;0;5.044094119;5.002488063
2.47;5;0;4.705589866;5.03277574
2.48;5;0;5.467199546;4.961889703
2.49;5;0;4.688342941;5.034708996
2.5;0;0;0;5.010543295
2.51;0;0;0;4.944168201
2.52;0;0;0;4.526263884
2.53;0;0;0;4.048753058
2.54;0;0;0;3.831586205
2.55;0;0;0;3.609264484
2.56;0;0;0;3.303492251
2.57;0;0;0;3.051528772
2.58;0;0;0;2.818253565
2.59;0;0;0;2.585300972
2.6;0;0;0;2.409700732
2.61;0;0;0;2.212190997
2.62;0;0;0;2.016614737
2.63;0;0;0;1.863247039
2.64;0;0;0;1.725345121
2.65;0;0;0;1.583576917
2.66;0;0;0;1.443419837
2.67;0;0;0;1.321950461
2.68;0;0;0;1.209824959
2.69;0;0;0;1.120253488
2.7;0;0;0;1.010383507
2.71;0;0;0;0.926611718
2.72;0;0;0;0.836395987
2.73;0;0;0;0.749724485
2.74;0;0;0;0.671430188
2.75;0;0;0;0.606346062
2.76;0;0;0;0.547705928
2.77;0;0;0;0.492287794
2.78;0;0;0.14935921;0.440736054
2.79;0;0;0.290026068;0.396594887
2.8;0;0;0.311786423;0.366308253
2.81;0;0;0.307464044;0.340532397
2.82;0;0;0.209039373;0.325066885
2.83;0;0;0.251768081;0.298002241
2.84;0;0;0.219317247;0.279636949
2.85;0;0;0.230081832;0.258694074
2.86;0;0;0.246727788;0.238717795
2.87;0;0;0.221948294;0.223896686
2.88;0;0;0.219671497;0.208108984
2.89;0;0;0.269304334;0.188777106
2.9;0;0;0.259100429;0.176211386
2.91;0;0;0.240969432;0.165256656
2.92;0;0;0.217212755;0.155590718
2.93;0;0;0.236927197;0.142702802
2.94;0;0;0.238230336;0.13239247
2.95;0;0;0.2154965;0.124981919
2.96;0;0;0.263083586;0.111771806
2.97;0;0;0.238815471;0.105972245
2.98;0;0;0.265689841;0.095984112
2.99;0;0;0.221731869;0.093084332
3;0;0;0.219455019;0.086640375
3.01;0;0;0.250932206;0.077618837
3.02;0;0;0.268089496;0.070530485
3.03;0;0;0.251492749;0.066986309
3.04;0;0;0.237708838;0.063442134
3.05;0;0;0.251797576;0.057642574
3.06;0;0;0.256169243;0.053131805
