Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"3762FF";"3762FF";"3762FF";"3762FF";"3762FF";"3762FF"
0;1.502426;3.898740;1.876583;4.289590;10.000000;0.100000
1;1.502426;3.898740;1.876583;4.289590;10.000000;0.100000
2;2.682577;9.320963;8.611103;-0.085238;10.000000;0.100000
3;2.882015;10.795312;-6.636555;-0.006806;10.000000;0.100000
4;2.882015;10.795312;-6.636555;-0.006806;10.000000;0.100000
5;9.630612;10.978690;-2.290948;-0.145817;10.000000;0.100000
6;9.630612;10.978690;-2.290948;-0.145817;10.000000;0.100000
7;6.947777;19.098130;-0.713523;3.473487;10.000000;0.100000
8;6.947777;19.098130;-0.713523;3.473487;10.000000;0.100000
9;6.947777;19.098130;-0.713523;3.473487;10.000000;0.100000
10;11.230249;17.687145;-2.182207;2.052927;10.000000;0.100000
11;11.230249;17.687145;-2.182207;2.052927;10.000000;0.100000
12;11.230249;17.687145;-2.182207;2.052927;10.000000;0.100000
13;11.230249;17.687145;-2.182207;2.052927;10.000000;0.100000
14;11.230249;17.687145;-2.182207;2.052927;10.000000;0.100000
15;11.873323;19.581823;-1.991310;2.222266;10.000000;0.100000
16;15.497129;19.098130;-3.600841;1.928068;10.000000;0.100000
17;11.230249;24.577459;-2.182207;2.190565;10.000000;0.100000
18;11.230249;24.577459;-2.182207;2.190565;10.000000;0.100000
19;10.605758;29.997286;-2.672730;1.698281;10.000000;0.100000
20;13.957730;36.085751;-2.136820;2.282931;10.000000;0.100000
21;13.957730;36.085751;-2.136820;2.282931;10.000000;0.100000
22;11.575417;43.177563;-3.225409;1.689642;10.000000;0.100000
23;11.352117;40.971856;-2.705692;1.538754;10.000000;0.100000
24;11.352117;40.971856;-2.705692;1.538754;10.000000;0.100000
25;11.352117;40.971856;-2.705692;1.538754;10.000000;0.100000
26;9.349539;45.651776;-4.196524;0.905301;10.000000;0.100000
27;6.567003;44.106475;-2.357834;0.368739;10.000000;0.100000
28;12.317448;45.651776;-4.304335;1.199899;10.000000;0.100000
29;12.317448;45.651776;-4.304335;1.199899;10.000000;0.100000
30;14.191187;50.352879;-4.033675;1.126731;10.000000;0.100000
31;14.191187;50.352879;-4.033675;1.126731;10.000000;0.100000
32;12.178408;52.339592;-3.324197;1.266588;10.000000;0.100000
33;12.178408;52.339592;-3.324197;1.266588;10.000000;0.100000
34;12.178408;52.339592;-3.324197;1.266588;10.000000;0.100000
35;8.490174;59.216237;-3.510208;0.469490;10.000000;0.100000
36;8.490174;59.216237;-3.510208;0.469490;10.000000;0.100000
37;8.490174;59.216237;-3.510208;0.469490;10.000000;0.100000
38;6.567003;61.081554;-2.357834;0.484309;10.000000;0.100000
39;6.773661;64.112707;-2.274546;0.305417;10.000000;0.100000
40;6.773661;64.112707;-2.274546;0.305417;10.000000;0.100000
41;6.773661;64.112707;-2.274546;0.305417;10.000000;0.100000
42;6.773661;64.112707;-2.274546;0.305417;10.000000;0.100000
43;7.545917;64.995850;-3.516610;0.518662;10.000000;0.100000
44;7.573486;68.948465;-4.591042;0.337399;10.000000;0.100000
