Epoche;Durchschnitt
Fehler;-
0;1
0;"3762FF"
0;132.659633
1;131.062747
2;128.615017
3;124.526231
4;119.301022
5;112.942695
6;105.469722
7;98.030438
8;90.911507
9;84.258614
10;78.088427
11;71.612911
12;65.551321
13;59.989376
14;54.818699
15;50.109332
16;45.811153
17;41.923759
18;38.409689
19;35.220086
20;32.318734
21;29.695471
22;27.323800
23;25.173559
24;23.224104
25;21.456871
26;19.862470
27;18.419764
28;17.115719
29;15.937372
30;14.870662
31;13.906258
32;13.031623
33;12.240018
34;11.525070
35;10.878625
36;10.295287
37;9.766963
38;9.287599
39;8.852464
40;8.454482
41;8.092674
42;7.762524
43;7.460912
44;7.183656
45;6.931299
46;6.697360
47;6.485119
48;6.288094
49;6.107651
50;5.943430
51;5.794966
52;5.661224
53;5.540391
54;5.431539
55;5.333309
56;5.244783
57;5.164709
58;5.092517
59;5.027383
60;4.968663
61;4.915753
62;4.867957
63;4.824724
64;4.785645
65;4.750424
66;4.718725
67;4.690035
68;4.664138
69;4.640759
70;4.619588
71;4.600347
72;4.582956
73;4.567288
74;4.553146
75;4.540099
76;4.528289
77;4.517580
78;4.507870
79;4.499131
80;4.491186
81;4.483952
82;4.477388
83;4.471437
84;4.466011
85;4.461112
86;4.456615
87;4.452472
88;4.448743
89;4.445280
90;4.442151
91;4.439248
92;4.436636
93;4.434085
94;4.431713
95;4.429540
96;4.427582
97;4.425805
98;4.424198
99;4.422751
100;4.421388
101;4.420144
102;4.418961
103;4.417891
104;4.416920
105;4.416046
106;4.415260
107;4.414552
108;4.413858
109;4.413202
110;4.412593
111;4.412044
112;4.411472
113;4.410933
114;4.410448
115;4.409904
116;4.409350
117;4.408852
118;4.408403
119;4.407950
120;4.407539
121;4.407168
122;4.406801
123;4.406434
124;4.406084
125;4.405759
126;4.405465
127;4.405114
128;4.404797
129;4.404512
130;4.404219
131;4.403942
132;4.403683
133;4.403351
134;4.403033
135;4.402747
136;4.402489
137;4.402249
138;4.402033
139;4.401799
140;4.401589
141;4.401349
142;4.401132
143;4.400936
144;4.400760
145;4.400597
146;4.400427
147;4.400275
148;4.400032
149;4.399751
150;4.399497
151;4.399270
152;4.399054
153;4.398859
154;4.398578
155;4.398321
156;4.398035
157;4.397772
158;4.397438
159;4.397109
160;4.396758
161;4.396443
162;4.396158
163;4.395888
164;4.395632
165;4.395402
166;4.395194
167;4.395008
168;4.394839
169;4.394673
170;4.394524
171;4.394378
172;4.394244
173;4.394060
174;4.393895
175;4.393733
176;4.393588
177;4.393294
178;4.393029
179;4.392783
180;4.392562
181;4.392362
182;4.392183
183;4.392022
184;4.391865
185;4.391723
186;4.391594
187;4.391415
188;4.391253
189;4.391108
190;4.390977
191;4.390859
192;4.390753
193;4.390656
194;4.390567
195;4.390484
196;4.390410
197;4.390344
