Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"1EA7FF";"1EA7FF";"1EA7FF";"1EA7FF";"1EA7FF";"1EA7FF"
0;-0.380322;-0.023347;-1.272042;0.947478;100000000.000000;0.100000
1;-0.380322;-0.023347;-1.272042;0.947478;100000000.000000;0.100000
2;-0.554827;-0.703909;-1.248795;1.331263;100000000.000000;0.100000
3;-0.840571;-0.829188;-1.530877;1.446905;100000000.000000;0.100000
4;-0.840571;-0.829188;-1.530877;1.446905;100000000.000000;0.100000
5;-0.840571;-0.829188;-1.530877;1.446905;100000000.000000;0.100000
6;-0.840571;-0.829188;-1.530877;1.446905;100000000.000000;0.100000
7;-1.221198;-0.656503;-1.693320;2.104703;100000000.000000;0.100000
8;-1.221198;-0.656503;-1.693320;2.104703;100000000.000000;0.100000
9;-1.135510;-0.020218;-1.292237;1.705455;100000000.000000;0.100000
10;-1.135510;-0.020218;-1.292237;1.705455;100000000.000000;0.100000
11;-1.179021;0.026263;-1.250552;2.684221;100000000.000000;0.100000
12;-1.179021;0.026263;-1.250552;2.684221;100000000.000000;0.100000
13;-1.048565;-0.080746;-0.950645;2.445347;100000000.000000;0.100000
14;-1.048565;-0.080746;-0.950645;2.445347;100000000.000000;0.100000
15;-1.048565;-0.080746;-0.950645;2.445347;100000000.000000;0.100000
16;-1.048565;-0.080746;-0.950645;2.445347;100000000.000000;0.100000
17;-1.165454;-1.046826;-1.192523;2.520601;100000000.000000;0.100000
18;-1.165454;-1.046826;-1.192523;2.520601;100000000.000000;0.100000
19;-1.350425;-0.046100;-1.267777;2.253865;100000000.000000;0.100000
20;-1.379307;0.043586;-1.066293;2.588480;100000000.000000;0.100000
21;-1.379307;0.043586;-1.066293;2.588480;100000000.000000;0.100000
22;-1.330264;0.001768;-1.142123;2.992162;100000000.000000;0.100000
23;-1.333264;-0.002221;-1.090323;2.397172;100000000.000000;0.100000
24;-1.333264;-0.002221;-1.090323;2.397172;100000000.000000;0.100000
25;-1.729359;-0.002221;-1.149840;2.958610;100000000.000000;0.100000
26;-1.729359;-0.002221;-1.149840;2.958610;100000000.000000;0.100000
27;-1.514797;0.016852;-0.966316;3.238979;100000000.000000;0.100000
28;-1.514797;0.016852;-0.966316;3.238979;100000000.000000;0.100000
29;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
30;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
31;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
32;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
33;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
34;-1.660483;0.019171;-0.879983;4.195727;100000000.000000;0.100000
35;-0.989789;-0.007228;-0.769875;3.238979;100000000.000000;0.100000
36;-0.989789;-0.007228;-0.769875;3.238979;100000000.000000;0.100000
37;-1.407364;-0.009480;-0.779127;4.140203;100000000.000000;0.100000
38;-1.407364;-0.009480;-0.779127;4.140203;100000000.000000;0.100000
39;-1.407364;-0.009480;-0.779127;4.140203;100000000.000000;0.100000
