Epoche;Durchschnitt
Fehler;-
0;1
0;"3073FF"
0;39748.316443
1;37969.640416
2;35285.770265
3;32232.453426
4;29245.035038
5;26465.192881
6;23945.357275
7;21662.297591
8;19602.413336
9;17660.748740
10;15911.262507
11;14335.266579
12;12916.035277
13;11637.978190
14;10487.445803
15;9451.688827
16;8519.279491
17;7680.036354
18;6924.616220
19;6244.683031
20;5632.598534
21;5081.658115
22;4585.794019
23;4139.469625
24;3737.761049
25;3376.203099
26;3050.786909
27;2757.896632
28;2494.267949
29;2256.971417
30;2043.364192
31;1850.992119
32;1677.804424
33;1521.879475
34;1381.506249
35;1255.127827
36;1141.337890
37;1038.782934
38;946.441738
39;863.240442
40;788.337122
41;720.865358
42;660.102560
43;605.366765
44;556.080725
45;511.689678
46;471.714638
47;435.719044
48;403.318518
49;374.151999
50;347.892511
51;324.243655
52;302.931933
53;283.729385
54;266.432859
55;250.857791
56;236.821539
57;224.184879
58;212.805126
59;202.536443
60;193.280171
61;184.919334
62;177.386065
63;170.600195
64;164.489675
65;158.977299
66;154.008909
67;149.534200
68;145.497957
69;141.862678
70;138.584579
71;135.581303
72;132.876505
73;130.440179
74;128.246675
75;126.269393
76;124.489839
77;122.886491
78;121.442354
79;120.134600
80;118.957622
81;117.898341
82;116.944989
83;116.086972
84;115.314756
85;114.612803
86;113.981045
87;113.412463
88;112.900257
89;112.439271
90;112.024383
91;111.650985
92;111.314926
93;111.012473
94;110.740266
95;110.495279
96;110.274791
97;110.074735
98;109.894685
99;109.732640
100;109.586799
101;109.455543
102;109.337412
103;109.215428
104;109.079056
105;108.941537
106;108.813417
107;108.663229
108;108.521328
109;108.360520
110;108.192135
111;108.007529
112;107.802843
113;107.590779
114;107.372681
115;107.163644
116;106.951408
117;106.727440
118;106.399753
119;106.019909
120;105.560700
121;105.070148
122;104.592425
123;104.143324
124;103.713681
125;103.317106
126;102.953981
127;102.615495
128;102.286765
129;101.977819
130;101.699768
131;101.449490
132;101.221325
133;101.015835
134;100.830894
135;100.662610
136;100.510697
137;100.373838
138;100.250664
139;100.139808
140;100.029637
141;99.930092
142;99.840502
143;99.759574
144;99.686738
145;99.600582
146;99.523042
147;99.453256
148;99.390448
149;99.333921
150;99.283047
151;99.235494
152;99.192696
153;99.154177
154;99.119511
155;99.088311
156;99.060232
157;99.034960
158;99.012146
159;98.991614
160;98.973135
161;98.956504
162;98.941536
163;98.928064
164;98.915940
165;98.905029
166;98.895208
167;98.886370
168;98.875903
169;98.866484
170;98.858006
171;98.850376
172;98.843509
173;98.837329
174;98.831767
175;98.826761
176;98.822255
177;98.818200
178;98.814551
179;98.811266
180;98.808310
181;98.805650
182;98.803256
183;98.801101
184;98.799161
185;98.797416
186;98.795845
187;98.785809
188;98.776777
189;98.768649
190;98.761333
191;98.754748
