Epoche;Kp;Ki;Kd;Kn;IntegralSaturation;AntiWindupBackCalculationConstant
;-;-;-;-;-;-
0;1;1;1;1;1;1
0;"18B9FF";"18B9FF";"18B9FF";"18B9FF";"18B9FF";"18B9FF"
0;-0.985534;-0.441206;0.417951;0.359844;100000000.000000;0.100000
1;-0.985534;-0.441206;0.417951;0.359844;100000000.000000;0.100000
2;-0.838450;-1.211875;-0.922147;1.205603;100000000.000000;0.100000
3;-0.838450;-1.211875;-0.922147;1.205603;100000000.000000;0.100000
4;-0.431562;-0.630421;-2.273644;1.479633;100000000.000000;0.100000
5;-0.431562;-0.630421;-2.273644;1.479633;100000000.000000;0.100000
6;-1.378634;-1.399871;-1.092916;2.061953;100000000.000000;0.100000
7;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
8;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
9;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
10;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
11;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
12;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
13;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
14;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
15;-1.463339;-2.364193;-1.569797;2.260593;100000000.000000;0.100000
16;-1.443568;-2.082410;-1.759398;2.041335;100000000.000000;0.100000
17;-1.687969;-1.720055;-1.341715;2.807416;100000000.000000;0.100000
18;-1.687969;-1.720055;-1.341715;2.807416;100000000.000000;0.100000
19;-1.687969;-1.720055;-1.341715;2.807416;100000000.000000;0.100000
20;-1.687969;-1.720055;-1.341715;2.807416;100000000.000000;0.100000
21;-2.157338;0.050969;-1.339172;2.849732;100000000.000000;0.100000
22;-2.157338;0.050969;-1.339172;2.849732;100000000.000000;0.100000
23;-2.157338;0.050969;-1.339172;2.849732;100000000.000000;0.100000
24;-2.157338;0.050969;-1.339172;2.849732;100000000.000000;0.100000
25;-1.632453;-1.387648;-1.196071;3.082397;100000000.000000;0.100000
26;-1.632453;-1.387648;-1.196071;3.082397;100000000.000000;0.100000
27;-2.041599;-0.001241;-1.315305;2.955007;100000000.000000;0.100000
28;-2.041599;-0.001241;-1.315305;2.955007;100000000.000000;0.100000
29;-2.041599;-0.001241;-1.315305;2.955007;100000000.000000;0.100000
30;-1.939522;0.069486;-0.969201;3.880317;100000000.000000;0.100000
31;-1.939522;0.069486;-0.969201;3.880317;100000000.000000;0.100000
32;-1.939522;0.069486;-0.969201;3.880317;100000000.000000;0.100000
33;-1.940830;-0.015680;-1.172026;2.951003;100000000.000000;0.100000
34;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
35;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
36;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
37;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
38;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
39;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
40;-1.626446;0.018630;-0.990701;3.113558;100000000.000000;0.100000
