Epoche;Durchschnitt
Fehler;-
0;1
0;"1EA7FF"
0;44613.183075
1;42871.128307
2;40661.612008
3;37612.068009
4;34721.252754
5;32000.273500
6;29492.627617
7;27544.462910
8;25168.451503
9;23122.754000
10;21097.654208
11;19165.506375
12;17479.327190
13;15885.410970
14;14478.508034
15;13207.503622
16;12036.607832
17;10928.211040
18;9937.896695
19;9011.577041
20;8163.136175
21;7383.369279
22;6679.404600
23;6044.809272
24;5472.128956
25;4955.421530
26;4489.093376
27;4069.116754
28;3690.521977
29;3349.619010
30;3042.395303
31;2765.667313
32;2516.324476
33;2291.757909
34;2089.373447
35;1906.903471
36;1742.545911
37;1594.218690
38;1460.361461
39;1339.643598
40;1230.985614
41;1133.043321
42;1044.625056
43;964.505483
44;892.087795
45;826.855702
46;768.001139
47;714.652612
48;666.206376
49;621.524609
50;580.210394
51;542.981771
52;509.371201
53;478.780186
54;451.200892
55;426.171495
56;403.283991
57;382.529559
58;363.074925
59;345.402265
60;329.126767
61;314.236589
62;300.502857
63;288.026907
64;276.622378
65;266.132255
66;256.322570
67;247.321215
68;239.043580
69;231.393121
70;224.440225
71;217.855484
72;211.678999
73;206.079109
74;200.958772
75;196.217093
76;191.742330
77;187.597295
78;183.821501
79;180.298136
80;177.091601
81;174.159079
82;171.403655
83;168.762809
84;166.283564
85;164.113902
86;162.070287
87;160.123832
88;158.308438
89;156.621287
90;155.066742
91;153.690883
92;152.368721
93;151.135819
94;150.100255
95;149.014078
96;148.125443
97;147.250858
98;146.551943
99;145.782776
100;145.010593
101;393528.391812
102;724661.261470
103;1015298.985960
104;1273164.867931
105;1492019.178651
106;1620640.732410
107;1731670.539030
108;1823063.469086
109;1860197.705401
110;1866050.757766
111;1864410.972636
112;1851763.633461
113;1835558.311812
114;1812532.659445
115;1771026.104764
116;1692740.315381
117;1556635.380754
118;1426417.138252
119;1287725.804837
120;1162337.861859
121;1046560.847711
122;943913.709459
123;851468.868799
124;766749.945783
125;693106.836272
126;625410.411289
127;563768.992315
128;509270.374816
129;459183.464268
130;415476.910384
131;374858.440748
132;339631.138319
133;310284.971230
134;281231.770854
135;255290.605568
136;230393.518410
137;207884.741677
138;188732.866396
139;170828.562640
140;154413.895089
141;141932.017454
142;129592.064134
143;121636.570605
144;111922.785900
145;103034.044730
146;93786.810932
147;86425.678488
148;78067.250968
149;72075.956468
150;65009.932249
151;59215.862740
152;55383.632605
153;52658.281197
154;48119.930986
155;47066.371228
156;45221.827410
157;41700.988756
158;37689.415997
159;34537.166807
160;32330.687104
161;34768.393287
162;36828.838735
163;36739.968471
164;34610.376664
165;33335.887867
166;30269.185644
167;27724.139505
168;29072.197687
169;28168.019453
170;27303.685057
171;26726.603623
172;25753.929990
173;25625.201405
174;24180.577742
175;26199.669397
176;25440.910463
177;25260.545830
