Zeit [s];y
;-
0;1
0;"1EA7FF"
0.010000;-0.000000
0.030000;-0.000012
0.050000;-0.000072
0.070000;-0.000218
0.090000;-0.000444
0.110000;-0.000720
0.130000;-0.001027
0.150000;-0.001349
0.170000;-0.001654
0.190000;-0.001938
0.210000;-0.002254
0.230000;-0.002641
0.250000;-0.003089
0.270000;-0.003509
0.290000;-0.003778
0.310000;-0.003817
0.330000;-0.003604
0.350000;-0.003192
0.370000;-0.002701
0.390000;-0.002242
0.410000;-0.001844
0.430000;-0.001465
0.450000;-0.001050
0.470000;-0.000546
0.490000;0.000053
0.510000;0.000713
0.530000;0.001960
0.550000;0.006628
0.570000;0.019866
0.590000;0.047105
0.610000;0.092138
0.630000;0.156110
0.650000;0.237594
0.670000;0.333522
0.690000;0.440483
0.710000;0.555904
0.730000;0.678709
0.750000;0.809366
0.770000;0.949388
0.790000;1.100592
0.810000;1.264389
0.830000;1.441347
0.850000;1.631125
0.870000;1.832718
0.890000;2.044892
0.910000;2.266600
0.930000;2.497267
0.950000;2.736857
0.970000;2.985745
0.990000;3.244481
1.010000;3.513537
1.030000;3.793123
1.050000;4.083141
1.070000;4.383233
1.090000;4.692926
1.110000;5.011776
1.130000;5.339479
1.150000;5.675918
1.170000;6.021131
1.190000;6.375239
1.210000;6.738359
1.230000;7.110532
1.250000;7.491695
1.270000;7.881692
1.290000;8.280311
1.310000;8.687341
1.330000;9.102609
1.350000;9.526006
1.370000;9.957478
1.390000;10.397010
1.410000;10.844593
1.430000;11.300198
1.450000;11.763762
1.470000;12.235189
1.490000;12.714360
1.510000;13.201154
1.530000;13.695458
1.550000;14.197181
1.570000;14.706252
1.590000;15.222617
1.610000;15.746225
1.630000;16.277024
1.650000;16.814933
1.670000;17.359689
1.690000;17.910558
1.710000;18.466217
1.730000;19.024842
1.750000;19.584325
1.770000;20.142582
1.790000;20.697823
1.810000;21.248655
1.830000;21.794020
1.850000;22.333080
1.870000;22.865049
1.890000;23.389044
1.910000;23.904059
1.930000;24.408959
1.950000;24.902560
1.970000;25.383722
1.990000;25.851387
2.010000;26.304597
2.030000;26.742548
2.050000;27.164616
2.070000;27.570321
2.090000;27.959311
2.110000;28.331386
2.130000;28.686541
2.150000;29.024994
2.170000;29.347117
2.190000;29.653345
2.210000;29.944069
2.230000;30.219566
2.250000;30.479986
2.270000;30.725375
2.290000;30.955732
2.310000;31.171075
2.330000;31.371479
2.350000;31.557092
2.370000;31.728124
2.390000;31.884813
2.410000;32.027389
2.430000;32.156049
2.450000;32.270945
2.470000;32.372187
2.490000;32.459867
2.510000;32.534074
2.530000;32.594914
2.550000;32.642514
2.570000;32.677027
2.590000;32.698615
2.610000;32.707439
2.630000;32.703654
2.650000;32.687394
2.670000;32.658781
2.690000;32.617929
2.710000;32.564978
2.730000;32.500191
2.750000;32.424038
2.770000;32.337213
